mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	color_r	color_g	color_b	color_a	color	color_html	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
6	6	1/2	1/2	4/4	3	1	V(4)								f	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
6	6	3/4	3/4	4/4	3	1	V								f	i		V	V							M	1	1	1, 5, 2		1	1
7	7	0	0	4/4	3	1	i6								f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	1/4	1/4	4/4	3	1	iv6								f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	1/2	1/2	4/4	3	1	V7								f	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	3/4	3/4	4/4	3	1	i								f	i		i	i							m	1	1	0, -3, 1		0	0
8	8	0	0	4/4	3	1	ii%2		170	0	0	255	/	#aa0000	f	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
8	8	0	0	4/4	3	1	V65(4)		0	85	0	255	/	#005500	f	i		V65(4)	V		65	4				Mm7	1	1	0, 2, -1, 1		1	0
8	8	1/4	1/4	4/4	3	1	V65								f	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
8	8	1/2	1/2	4/4	3	1	i(9)								f	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
8	8	3/4	3/4	4/4	3	1	i6								f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	0	0	4/4	3	1	III.iii(4)								f	III		iii(4)	iii			4				m	1	0	4, 3, 5		4	4
9	9	1/4	1/4	4/4	3	1	iii								f	III		iii	iii							m	1	0	4, 1, 5		4	4
9	9	1/2	1/2	4/4	3	1	V65/ii								f	III		V65/ii	V		65		ii			Mm7	1	0	7, 4, 1, 3		3	7
9	9	3/4	3/4	4/4	3	1	ii								f	III		ii	ii							m	1	0	2, -1, 3		2	2
10	10	0	0	4/4	3	1	V65								f	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
10	10	1/4	1/4	4/4	3	1	I								f	III		I	I							M	1	0	0, 4, 1		0	0
10	10	1/2	1/2	4/4	3	1	IV								f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
10	10	3/4	3/4	4/4	3	1	I								f	III		I	I							M	1	0	0, 4, 1		0	0
11	11	0	0	4/4	3	1	V(4)								f	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
11	11	1/4	1/4	4/4	3	1	V65/vi								f	III		V65/vi	V		65		vi			Mm7	1	0	8, 5, 2, 4		4	8
11	11	1/2	1/2	4/4	3	1	vi|DC}		170	0	0	255	/	#aa0000	f	III		vi	vi					DC	}	m	1	0	3, 0, 4		3	3
11	11	1/2	1/2	4/4	3	1	vi(9)		0	85	0	255	/	#005500	f	III		vi(9)	vi			9				m	1	0	3, 0, 4	5	3	3
11	11	5/8	5/8	4/4	3	1	{		170	0	0	255	/	#aa0000	f	III									{		1	0				
11	11	3/4	3/4	4/4	3	1	i.i6								f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	12	0	0	4/4	3	1	V(4)								f	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
12	12	1/4	1/4	4/4	3	1	V								f	i		V	V							M	1	1	1, 5, 2		1	1
12	12	1/2	1/2	4/4	3	1	i|IAC}{								f	i		i	i					IAC	}{	m	1	1	0, -3, 1		0	0
12	12	3/4	3/4	4/4	3	1	VI6								f	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
13	13	0	0	4/4	3	1	III								f	i		III	III							M	1	1	-3, 1, -2		-3	-3
13	13	1/4	1/4	4/4	3	1	i6								f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	13	1/2	1/2	4/4	3	1	V(4)								f	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
13	13	3/4	3/4	4/4	3	1	V								f	i		V	V							M	1	1	1, 5, 2		1	1
14	14	0	0	4/4	3	1	i(9)								f	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
14	14	1/4	1/4	4/4	3	1	i6								f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	1/2	1/2	4/4	3	1	v.i(4)								f	v		i(4)	i			4				m	1	1	0, -1, 1		0	0
14	14	3/4	3/4	4/4	3	1	i6		170	0	0	255	/	#aa0000	f	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	3/4	3/4	4/4	3	1	i		0	85	0	255	/	#005500	f	v		i	i							m	1	1	0, -3, 1		0	0
15	15	0	0	4/4	3	1	ii%6(2)		170	0	0	255	/	#aa0000	f	v		ii%6(2)	ii	%	6	2					1	1				
15	15	0	0	4/4	3	1	iio6(2)		0	85	0	255	/	#005500	f	v		iio6(2)	ii	o	6	2				o	1	1	-1, -4, -3		2	-1
15	15	1/4	1/4	4/4	3	1	ii%65		170	0	0	255	/	#aa0000	f	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
15	15	1/4	1/4	4/4	3	1	iio6		0	85	0	255	/	#005500	f	v		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
15	15	1/2	1/2	4/4	3	1	V7								f	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	15	7/8	7/8	4/4	3	1	i6								f	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
16	16	0	0	4/4	3	1	IV								f	v		IV	IV							M	1	1	-1, 3, 0		-1	-1
16	16	1/8	1/8	4/4	3	1	V		170	0	0	255	/	#aa0000	f	v		V	V							M	1	1	1, 5, 2		1	1
16	16	1/8	1/8	4/4	3	1	V7		0	85	0	255	/	#005500	f	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	1/4	1/4	4/4	3	1	VI								f	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
16	16	3/8	3/8	4/4	3	1	i6								f	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
16	16	1/2	1/2	4/4	3	1	ii%65								f	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
16	16	3/4	3/4	4/4	3	1	V								f	v		V	V							M	1	1	1, 5, 2		1	1
17	17	0	0	4/4	3	1	i|PAC}{								f	v		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
17	17	1/2	1/2	4/4	3	1	III.V7/ii								f	III		V7/ii	V		7		ii			Mm7	1	0	3, 7, 4, 1		3	3
18	18	0	0	4/4	4	1	ii								f	III		ii	ii							m	1	0	2, -1, 3		2	2
18	18	1/2	1/2	4/4	4	1	V7								f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	4	1	I								f	III		I	I							M	1	0	0, 4, 1		0	0
19	19	1/4	1/4	4/4	4	1	I6								f	III		I6	I		6					M	1	0	4, 1, 0		0	4
19	19	1/2	1/2	4/4	4	1	IV(9)								f	III		IV(9)	IV			9				M	1	0	-1, 3, 0	1	-1	-1
19	19	3/4	3/4	4/4	4	1	IV6		170	0	0	255	/	#aa0000	f	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
19	19	3/4	3/4	4/4	4	1	IV		0	85	0	255	/	#005500	f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
20	20	0	0	4/4	4	1	V7								f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
20	20	3/8	3/8	4/4	4	1	I6								f	III		I6	I		6					M	1	0	4, 1, 0		0	4
20	20	1/2	1/2	4/4	4	1	ii6								f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
20	20	5/8	5/8	4/4	4	1	V		170	0	0	255	/	#aa0000	f	III		V	V							M	1	0	1, 5, 2		1	1
20	20	5/8	5/8	4/4	4	1	V7		0	85	0	255	/	#005500	f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
20	20	3/4	3/4	4/4	4	1	vi								f	III		vi	vi							m	1	0	3, 0, 4		3	3
20	20	7/8	7/8	4/4	4	1	I6								f	III		I6	I		6					M	1	0	4, 1, 0		0	4
21	21	0	0	4/4	4	1	ii65								f	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
21	21	1/4	1/4	4/4	4	1	V								f	III		V	V							M	1	0	1, 5, 2		1	1
21	21	1/2	1/2	4/4	4	1	I|PAC}								f	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
21	21	5/8	5/8	4/4	4	1	{								f	III									{		1	0				
22	22	0	0	4/4	4	1	V6		170	0	0	255	/	#aa0000	f	III		V6	V		6					M	1	0	5, 2, 1		1	5
22	22	0	0	4/4	4	1	i.V6		0	85	0	255	/	#005500	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
22	22	1/2	1/2	4/4	4	1	i								f	i		i	i							m	1	1	0, -3, 1		0	0
22	22	3/4	3/4	4/4	4	1	VI6								f	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
23	23	0	0	4/4	4	1	III								f	i		III	III							M	1	1	-3, 1, -2		-3	-3
23	23	1/4	1/4	4/4	4	1	i6								f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
23	23	1/2	1/2	4/4	4	1	V(4)								f	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
23	23	3/4	3/4	4/4	4	1	V								f	i		V	V							M	1	1	1, 5, 2		1	1
24	24	0	0	4/4	4	1	i6								f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
24	24	1/4	1/4	4/4	4	1	iv6								f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
24	24	1/2	1/2	4/4	4	1	V7								f	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	24	3/4	3/4	4/4	4	1	i								f	i		i	i							m	1	1	0, -3, 1		0	0
25	25	0	0	4/4	4	1	ii6(2)		170	0	0	255	/	#aa0000	f	i		ii6(2)	ii		6	2				m	1	1	-1, 3, -3		2	-1
25	25	0	0	4/4	4	1	iio6(2)		0	85	0	255	/	#005500	f	i		iio6(2)	ii	o	6	2				o	1	1	-1, -4, -3		2	-1
25	25	1/4	1/4	4/4	4	1	ii6		170	0	0	255	/	#aa0000	f	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
25	25	1/4	1/4	4/4	4	1	iio6		0	85	0	255	/	#005500	f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
25	25	1/2	1/2	4/4	4	1	V[V7		170	0	0	255	/	#aa0000	f	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
25	25	1/2	1/2	4/4	4	1	V7		0	85	0	255	/	#005500	f	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
25	25	3/4	3/4	4/4	4	1	V(64)								f	i	V	V(64)	V			64				M	1	1	1, 0, -3		1	1
26	26	0	0	4/4	4	1	V7								f	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	26	1/4	1/4	4/4	4	1	V(64)								f	i	V	V(64)	V			64				M	1	1	1, 0, -3		1	1
26	26	1/2	1/2	4/4	4	1	V7								f	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	26	3/4	3/4	4/4	4	1	V(64)								f	i	V	V(64)	V			64				M	1	1	1, 0, -3		1	1
27	27	0	0	4/4	4	1	V]		170	0	0	255	/	#aa0000	f	i	V	V	V							M	1	1	1, 5, 2		1	1
27	27	0	0	4/4	4	1	V		0	85	0	255	/	#005500	f	i		V	V							M	1	1	1, 5, 2		1	1
27	27	1/4	1/4	4/4	4	1	iv7		170	0	0	255	/	#aa0000	f	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
27	27	1/4	1/4	4/4	4	1	iv7	IV7	0	85	0	255	/	#005500	f	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
27	27	1/2	1/2	4/4	4	1	V(4)								f	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
27	27	3/4	3/4	4/4	4	1	V								f	i		V	V							M	1	1	1, 5, 2		1	1
28	28	0	0	4/4	4	1	i|PAC}								f	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
