mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
13	13	0	0	4/4	3	1	I					I	I								M	0, 4, 1		0	0
13	13	3/8	3/8	4/4	3	1	I6					I6	I		6						M	4, 1, 0		0	4
13	13	1/2	1/2	4/4	3	1	ii7					ii7	ii		7						mm7	2, -1, 3, 0		2	2
13	13	3/4	3/4	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
14	14	0	0	4/4	3	1	I7	vi6(2)				I7	I		7						Mm7	0, 4, 1, -2		0	0
14	14	1/4	1/4	4/4	3	1	vi6					vi6	vi		6						m	-7, -3, -4		-4	-7
14	14	3/8	3/8	4/4	3	1	IV					IV	IV								M	-1, 3, 0		-1	-1
14	14	1/2	1/2	4/4	3	1	vii%7					vii%7	vii	%	7						%7	-2, -5, -8, -4		-2	-2
14	14	3/4	3/4	4/4	3	1	iii7					iii7	iii		7						mm7	-3, -6, -2, -5		-3	-3
15	15	0	0	4/4	3	1	vi7					vi7	vi		7						mm7	-4, -7, -3, -6		-4	-4
15	15	1/4	1/4	4/4	3	1	ii7					ii7	ii		7						mm7	2, -1, 3, 0		2	2
15	15	1/2	1/2	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
15	15	7/8	7/8	4/4	3	1	I6					I6	I		6						M	4, 1, 0		0	4
16	16	0	0	4/4	3	1	IV					IV	IV								M	-1, 3, 0		-1	-1
16	16	1/8	1/8	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
16	16	1/4	1/4	4/4	3	1	vi					vi	vi								m	-4, -7, -3		-4	-4
16	16	3/8	3/8	4/4	3	1	I6					I6	I		6						M	4, 1, 0		0	4
16	16	1/2	1/2	4/4	3	1	ii65					ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
16	16	3/4	3/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
17	17	0	0	4/4	3	1	I|PAC}					I	I						PAC	}	M	0, 4, 1		0	0
17	17	1/8	1/8	4/4	3	1	{													{					
17	17	1/4	1/4	4/4	3	1	i.i6			i		i6	i		6						m	-3, 1, 0		0	-3
17	17	1/2	1/2	4/4	3	1	ii%65					ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
17	17	3/4	3/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
18	18	0	0	4/4	3	1	i(2)					i(2)	i			2					m	2, -3, 1		0	2
18	18	1/4	1/4	4/4	3	1	i					i	i								m	0, -3, 1		0	0
18	18	1/2	1/2	4/4	3	1	v.i(4)			v		i(4)	i			4					m	0, -1, 1		0	0
18	18	3/4	3/4	4/4	3	1	i					i	i								m	0, -3, 1		0	0
18	18	7/8	7/8	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
19	19	0	0	4/4	3	1	ii6(2)					ii6(2)	ii		6	2					m	-1, 3, -3		2	-1
19	19	1/4	1/4	4/4	3	1	ii6					ii6	ii		6						m	-1, 3, 2		2	-1
19	19	1/2	1/2	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
19	19	3/4	3/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
20	20	0	0	4/4	3	1	bII6					bII6	bII		6						M	-1, -4, -5		-5	-1
20	20	1/8	1/8	4/4	3	1	V					V	V								M	1, 5, 2		1	1
20	20	1/4	1/4	4/4	3	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
20	20	3/8	3/8	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
20	20	1/2	1/2	4/4	3	1	ii%65					ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
20	20	3/4	3/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
21	21	0	0	4/4	3	1	i|PAC}{					i	i						PAC	}{	m	0, -3, 1		0	0
21	21	1/4	1/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
21	21	1/2	1/2	4/4	3	1	V					V	V								M	1, 5, 2		1	1
21	21	3/4	3/4	4/4	3	1	V6					V6	V		6						M	5, 2, 1		1	5
22	22	0	0	4/4	3	1	i					i	i								m	0, -3, 1		0	0
22	22	1/4	1/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
22	22	1/2	1/2	4/4	3	1	i.V/iv			i		V/iv	V				iv				M	0, 4, 1		0	0
22	22	3/4	3/4	4/4	3	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
23	23	0	0	4/4	3	1	iv					iv	iv								m	-1, -4, 0		-1	-1
23	23	1/4	1/4	4/4	3	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
23	23	1/2	1/2	4/4	3	1	V/III					V/III	V				III				M	-2, 2, -1		-2	-2
23	23	3/4	3/4	4/4	3	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
24	24	0	0	4/4	3	1	III					III	III								M	-3, 1, -2		-3	-3
24	24	1/4	1/4	4/4	3	1	III6					III6	III		6						M	1, -2, -3		-3	1
24	24	1/2	1/2	4/4	3	1	V(4)/III					V(4)/III	V			4	III				M	-2, -3, -1		-2	-2
24	24	3/4	3/4	4/4	3	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
24	24	7/8	7/8	4/4	3	1	V65	#viio				V65	V		65						Mm7	5, 2, -1, 1		1	5
25	25	0	0	4/4	3	1	i(2)					i(2)	i			2					m	2, -3, 1		0	2
25	25	1/4	1/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
25	25	1/2	1/2	4/4	3	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
25	25	3/4	3/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
26	26	0	0	4/4	3	1	iv6(2)					iv6(2)	iv		6	2					m	-4, 0, 1		-1	-4
26	26	1/4	1/4	4/4	3	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
26	26	1/2	1/2	4/4	3	1	V|HC					V	V						HC		M	1, 5, 2		1	1
26	26	3/4	3/4	4/4	3	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
27	27	0	0	4/4	3	1	V					V	V								M	1, 5, 2		1	1
27	27	1/4	1/4	4/4	3	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
27	27	1/2	1/2	4/4	3	1	V					V	V								M	1, 5, 2		1	1
27	27	3/4	3/4	4/4	3	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
28	28	0	0	4/4	3	1	V					V	V								M	1, 5, 2		1	1
28	28	1/4	1/4	4/4	3	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
28	28	1/2	1/2	4/4	3	1	V}					V	V							}	M	1, 5, 2		1	1
28	28	5/8	5/8	4/4	3	1	{													{					
28	28	3/4	3/4	4/4	3	1	V(6)					V(6)	V			6					M	1, 5, -3		1	1
29	29	0	0	4/4	3	1	VI					VI	VI								M	-4, 0, -3		-4	-4
29	29	1/4	1/4	4/4	3	1	VI(6)					VI(6)	VI			6					M	-4, 0, -1		-4	-4
29	29	1/2	1/2	4/4	3	1	III.V			III		V	V								M	1, 5, 2		1	1
29	29	3/4	3/4	4/4	3	1	V(6)					V(6)	V			6					M	1, 5, -3		1	1
30	30	0	0	4/4	3	1	vi					vi	vi								m	-4, -7, -3		-4	-4
30	30	3/8	3/8	4/4	3	1	vi(6)					vi(6)	vi			6					m	-4, -7, -1		-4	-4
30	30	1/2	1/2	4/4	3	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
30	30	3/4	3/4	4/4	3	1	I					I	I								M	0, 4, 1		0	0
30	30	7/8	7/8	4/4	3	1	I6					I6	I		6						M	4, 1, 0		0	4
31	31	0	0	4/4	3	1	IV					IV	IV								M	-1, 3, 0		-1	-1
31	31	1/8	1/8	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
31	31	1/4	1/4	4/4	3	1	vi					vi	vi								m	-4, -7, -3		-4	-4
31	31	3/8	3/8	4/4	3	1	I6					I6	I		6						M	4, 1, 0		0	4
31	31	1/2	1/2	4/4	3	1	ii65					ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
31	31	3/4	3/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
32	32	0	0	4/4	3	1	I|PAC}					I	I						PAC	}	M	0, 4, 1		0	0
32	32	1/8	1/8	4/4	3	1	{													{					
32	32	1/4	1/4	4/4	3	1	i.i6			i		i6	i		6						m	-3, 1, 0		0	-3
32	32	1/2	1/2	4/4	3	1	IV					IV	IV								M	-1, 3, 0		-1	-1
32	32	3/4	3/4	4/4	3	1	IV(6)					IV(6)	IV			6					M	-1, 3, 2		-1	-1
33	33	0	0	4/4	3	1	V					V	V								M	1, 5, 2		1	1
33	33	1/4	1/4	4/4	3	1	V(6)					V(6)	V			6					M	1, 5, -3		1	1
33	33	1/2	1/2	4/4	3	1	VI					VI	VI								M	-4, 0, -3		-4	-4
33	33	3/4	3/4	4/4	3	1	VI(6)					VI(6)	VI			6					M	-4, 0, -1		-4	-4
33	33	7/8	7/8	4/4	3	1	iio6					iio6	ii	o	6						o	-1, -4, 2		2	-1
34	34	0	0	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
34	34	1/4	1/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
34	34	1/2	1/2	4/4	3	1	IV					IV	IV								M	-1, 3, 0		-1	-1
34	34	5/8	5/8	4/4	3	1	V					V	V								M	1, 5, 2		1	1
34	34	3/4	3/4	4/4	3	1	VI					VI	VI								M	-4, 0, -3		-4	-4
34	34	7/8	7/8	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
35	35	0	0	4/4	3	1	ii%65					ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
35	35	1/4	1/4	4/4	3	1	III.iii			III		iii	iii								m	4, 1, 5		4	4
35	35	1/2	1/2	4/4	3	1	vi65					vi65	vi		65						mm7	-7, -3, -6, -4		-4	-7
35	35	3/4	3/4	4/4	3	1	ii					ii	ii								m	2, -1, 3		2	2
36	36	0	0	4/4	3	1	V65					V65	V		65						Mm7	5, 2, -1, 1		1	5
36	36	1/4	1/4	4/4	3	1	I					I	I								M	0, 4, 1		0	0
36	36	1/2	1/2	4/4	3	1	IV65					IV65	IV		65						Mm7	3, 0, -3, -1		-1	3
36	36	3/4	3/4	4/4	3	1	viio					viio	vii	o							o	-2, -5, -8		-2	-2
37	37	0	0	4/4	3	1	i.V65			i		V65	V		65						Mm7	5, 2, -1, 1		1	5
37	37	1/4	1/4	4/4	3	1	i					i	i								m	0, -3, 1		0	0
37	37	3/8	3/8	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
37	37	1/2	1/2	4/4	3	1	iio6(2)					iio6(2)	ii	o	6	2					o	-1, -4, -3		2	-1
37	37	3/4	3/4	4/4	3	1	iio6					iio6	ii	o	6						o	-1, -4, 2		2	-1
38	38	0	0	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
38	38	1/4	1/4	4/4	3	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
38	38	1/2	1/2	4/4	3	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
38	38	3/4	3/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
39	39	0	0	4/4	3	1	i|PAC}					i	i						PAC	}	m	0, -3, 1		0	0
