mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	color_r	color_g	color_b	color_a	color	color_html	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
4	4	5/8	5/8	4/4	3	1	I(6)	170	0	0	255	/	#aa0000	Bb	V		I(6)	I			6				M	0	0	0, 4, 3		0	0
4	4	5/8	5/8	4/4	3	1	vi6	0	85	0	255	/	#005500	Bb	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
4	4	3/4	3/4	4/4	3	1	V6							Bb	V		V6	V		6					M	0	0	5, 2, 1		1	5
4	4	7/8	7/8	4/4	3	1	V							Bb	V		V	V							M	0	0	1, 5, 2		1	1
5	5	0	0	4/4	3	1	IV6	0	85	0	255	/	#005500	Bb	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
5	5	1/8	1/8	4/4	3	1	IV6(4)	170	0	0	255	/	#aa0000	Bb	V		IV6(4)	IV		6	4				M	0	0	5, 0, -1		-1	5
5	5	1/4	1/4	4/4	3	1	V6	170	0	0	255	/	#aa0000	Bb	V		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	1/4	1/4	4/4	3	1	iii6	0	85	0	255	/	#005500	Bb	V		iii6	iii		6					m	0	0	1, 5, 4		4	1
5	5	3/8	3/8	4/4	3	1	iii(2)	170	0	0	255	/	#aa0000	Bb	V		iii(2)	iii			2				m	0	0	-1, 1, 5		4	-1
5	5	3/8	3/8	4/4	3	1	iii	0	85	0	255	/	#005500	Bb	V		iii	iii							m	0	0	4, 1, 5		4	4
5	5	1/2	1/2	4/4	3	1	ii6	0	85	0	255	/	#005500	Bb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
5	5	5/8	5/8	4/4	3	1	ii6(4)	170	0	0	255	/	#aa0000	Bb	V		ii6(4)	ii		6	4				m	0	0	1, 3, 2		2	1
5	5	3/4	3/4	4/4	3	1	I6							Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	7/8	7/8	4/4	3	1	I							Bb	V		I	I							M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	3	1	IV	0	85	0	255	/	#005500	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	1/8	1/8	4/4	3	1	IV	170	0	0	255	/	#aa0000	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	1/4	1/4	4/4	3	1	V(4)							Bb	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
6	6	3/8	3/8	4/4	3	1	V							Bb	V		V	V							M	0	0	1, 5, 2		1	1
6	6	1/2	1/2	4/4	3	1	I|PAC}							Bb	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	3	1	{	0	85	0	255	/	#005500	Bb	V									{		0	0				
7	7	1/4	1/4	4/4	3	1	V6							Bb	V		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	3/8	3/8	4/4	3	1	V							Bb	V		V	V							M	0	0	1, 5, 2		1	1
7	7	1/2	1/2	4/4	3	1	I	0	85	0	255	/	#005500	Bb	V		I	I							M	0	0	0, 4, 1		0	0
7	7	5/8	5/8	4/4	3	1	I	170	0	0	255	/	#aa0000	Bb	V		I	I							M	0	0	0, 4, 1		0	0
7	7	3/4	3/4	4/4	3	1	V6							Bb	V		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	7/8	7/8	4/4	3	1	V							Bb	V		V	V							M	0	0	1, 5, 2		1	1
8	8	0	0	4/4	3	1	iii.i	0	85	0	255	/	#005500	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
8	8	1/8	1/8	4/4	3	1	III.i	170	0	0	255	/	#aa0000	Bb	III		i	i							m	0	0	0, -3, 1		0	0
8	8	1/4	1/4	4/4	3	1	V6							Bb	III		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	3/8	3/8	4/4	3	1	V							Bb	III		V	V							M	0	0	1, 5, 2		1	1
8	8	1/2	1/2	4/4	3	1	i	0	85	0	255	/	#005500	Bb	III		i	i							m	0	0	0, -3, 1		0	0
8	8	5/8	5/8	4/4	3	1	i	170	0	0	255	/	#aa0000	Bb	III		i	i							m	0	0	0, -3, 1		0	0
8	8	3/4	3/4	4/4	3	1	V6							Bb	III		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	7/8	7/8	4/4	3	1	V							Bb	III		V	V							M	0	0	1, 5, 2		1	1
9	9	0	0	4/4	3	1	i6	0	85	0	255	/	#005500	Bb	III		i6	i		6					m	0	0	-3, 1, 0		0	-3
9	9	1/8	1/8	4/4	3	1	i6	170	0	0	255	/	#aa0000	Bb	III		i6	i		6					m	0	0	-3, 1, 0		0	-3
9	9	1/4	1/4	4/4	3	1	iv							Bb	III		iv	iv							m	0	0	-1, -4, 0		-1	-1
9	9	1/2	1/2	4/4	3	1	V6	0	85	0	255	/	#005500	Bb	III		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	5/8	5/8	4/4	3	1	i(4)	170	0	0	255	/	#aa0000	Bb	III		i(4)	i			4				m	0	0	0, -1, 1		0	0
9	9	5/8	5/8	4/4	3	1	i	0	85	0	255	/	#005500	Bb	III		i	i							m	0	0	0, -3, 1		0	0
9	9	3/4	3/4	4/4	3	1	V(4)							Bb	III		V(4)	V			4				M	0	0	1, 0, 2		1	1
9	9	7/8	7/8	4/4	3	1	V							Bb	III		V	V							M	0	0	1, 5, 2		1	1
10	10	0	0	4/4	3	1	i|PAC}	170	0	0	255	/	#aa0000	Bb	III		i	i					PAC	}	m	0	0	0, -3, 1		0	0
10	10	0	0	4/4	3	1	i|PAC}{	0	85	0	255	/	#005500	Bb	III		i	i					PAC	}{	m	0	0	0, -3, 1		0	0
10	10	1/4	1/4	4/4	3	1	V65/ii	170	0	0	255	/	#aa0000	Bb	III		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
10	10	1/4	1/4	4/4	3	1	I.V65/ii	0	85	0	255	/	#005500	Bb	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
10	10	3/8	3/8	4/4	3	1	V/ii							Bb	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
10	10	1/2	1/2	4/4	3	1	ii	0	85	0	255	/	#005500	Bb	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	5/8	5/8	4/4	3	1	ii	170	0	0	255	/	#aa0000	Bb	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	3/4	3/4	4/4	3	1	V65							Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	7/8	7/8	4/4	3	1	V							Bb	I		V	V							M	0	0	1, 5, 2		1	1
11	11	0	0	4/4	3	1	I	0	85	0	255	/	#005500	Bb	I		I	I							M	0	0	0, 4, 1		0	0
11	11	1/8	1/8	4/4	3	1	I	170	0	0	255	/	#aa0000	Bb	I		I	I							M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	4/4	3	1	IV(7)	170	0	0	255	/	#aa0000	Bb	I		IV(7)	IV			7				M	0	0	-1, 3, 0	4	-1	-1
11	11	1/4	1/4	4/4	3	1	ii6(2)	0	85	0	255	/	#005500	Bb	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
11	11	3/8	3/8	4/4	3	1	ii6							Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
11	11	1/2	1/2	4/4	3	1	V(64)	170	0	0	255	/	#aa0000	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
11	11	1/2	1/2	4/4	3	1	V2	0	85	0	255	/	#005500	Bb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	11	5/8	5/8	4/4	3	1	I6							Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	3/4	3/4	4/4	3	1	IV							Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	7/8	7/8	4/4	3	1	ii							Bb	I		ii	ii							m	0	0	2, -1, 3		2	2
12	12	0	0	4/4	3	1	V7							Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	1/8	1/8	4/4	3	1	I							Bb	I		I	I							M	0	0	0, 4, 1		0	0
12	12	1/4	1/4	4/4	3	1	V(4)							Bb	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
12	12	3/8	3/8	4/4	3	1	V							Bb	I		V	V							M	0	0	1, 5, 2		1	1
12	12	1/2	1/2	4/4	3	1	I							Bb	I		I	I							M	0	0	0, 4, 1		0	0
12	12	5/8	5/8	4/4	3	1	I6							Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	3/4	3/4	4/4	3	1	IV							Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	7/8	7/8	4/4	3	1	ii							Bb	I		ii	ii							m	0	0	2, -1, 3		2	2
13	13	0	0	4/4	3	1	V7							Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	1/8	1/8	4/4	3	1	I							Bb	I		I	I							M	0	0	0, 4, 1		0	0
13	13	1/4	1/4	4/4	3	1	V(4)							Bb	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
13	13	3/8	3/8	4/4	3	1	V							Bb	I		V	V							M	0	0	1, 5, 2		1	1
13	13	1/2	1/2	4/4	3	1	I	170	0	0	255	/	#aa0000	Bb	I		I	I							M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	4/4	3	1	I|PAC}	0	85	0	255	/	#005500	Bb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
