mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
9	9	32	32	2.0	0	0	4/4	4	1	i	above	d	v		i	i							m	1	1	0, -3, 1		0	0
9	9	34	34	1.0	1/2	1/2	4/4	4	1	IV(9)	above	d	v		IV(9)	IV			9				M	1	1	-1, 3, 0	1	-1	-1
9	9	35	35	1.0	3/4	3/4	4/4	4	1	IV	above	d	v		IV	IV							M	1	1	-1, 3, 0		-1	-1
10	10	36	36	1.0	0	0	4/4	4	1	V7	above	d	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	37	37	1.0	1/4	1/4	4/4	4	1	V(64)	above	d	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
10	10	38	38	1.0	1/2	1/2	4/4	4	1	V(4)	above	d	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
10	10	39	39	1.0	3/4	3/4	4/4	4	1	V	above	d	v		V	V							M	1	1	1, 5, 2		1	1
11	11	40	40	1.0	0	0	4/4	4	1	i|PAC}	above	d	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
11	11	41	41	1.0	1/4	1/4	4/4	4	1	i.V{	above	d	i		V	V						{	M	1	1	1, 5, 2		1	1
11	11	42	42	1.0	1/2	1/2	4/4	4	1	#vi%7	above	d	i		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
11	11	43	43	1.0	3/4	3/4	4/4	4	1	#viio	above	d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
12	12	44	44	1.0	0	0	4/4	4	1	i(4)	above	d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
12	12	45	45	1.0	1/4	1/4	4/4	4	1	i	above	d	i		i	i							m	1	1	0, -3, 1		0	0
12	12	46	46	1.0	1/2	1/2	4/4	4	1	ii6(2)	above	d	i		ii6(2)	ii		6	2				m	1	1	-1, 3, -3		2	-1
12	12	47	47	1.0	3/4	3/4	4/4	4	1	bII6	above	d	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
13	13	48	48	1.0	0	0	4/4	4	1	V(9)	above	d	i		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
13	13	49	49	1.0	1/4	1/4	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
13	13	50	50	2.0	1/2	1/2	4/4	4	1	i	above	d	i		i	i							m	1	1	0, -3, 1		0	0
14	14	52	52	1.0	0	0	4/4	4	1	IV(9)	above	d	i		IV(9)	IV			9				M	1	1	-1, 3, 0	1	-1	-1
14	14	53	53	1.0	1/4	1/4	4/4	4	1	IV	above	d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
14	14	54	54	1.0	1/2	1/2	4/4	4	1	V7	above	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	55	55	1.0	3/4	3/4	4/4	4	1	V(64)	above	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
15	15	56	56	1.0	0	0	4/4	4	1	V(4)	above	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
15	15	57	57	1.0	1/4	1/4	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
15	15	58	58	1.0	1/2	1/2	4/4	4	1	i|PAC}	above	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
15	15	59	59	1.0	3/4	3/4	4/4	4	1	VI6{	above	d	i		VI6	VI		6				{	M	1	1	0, -3, -4		-4	0
16	16	60	60	1.0	0	0	4/4	4	1	v6(2)	above	d	i		v6(2)	v		6	2				m	1	1	-2, 2, -4		1	-2
16	16	61	61	1.0	1/4	1/4	4/4	4	1	v6	above	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
16	16	62	62	1.0	1/2	1/2	4/4	4	1	iv6(2)	above	d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
16	16	63	63	1.0	3/4	3/4	4/4	4	1	iv6	above	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
17	17	64	64	1.0	0	0	4/4	4	1	V7	above	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	17	65	65	1.0	1/4	1/4	4/4	4	1	V(64)	above	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
17	17	66	66	1.0	1/2	1/2	4/4	4	1	V(4)	above	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
17	17	67	67	1.0	3/4	3/4	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
18	18	68	68	4.0	0	0	4/4	4	1	i|PAC}	above	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
