mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
22	22	84	84	1.0	0	0	2/2	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
22	22	85	85	1.0	1/4	1/4	2/2	3	1	ii2		G	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
22	22	86	86	1.0	1/2	1/2	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	22	87	87	1.0	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
23	23	88	88	1.0	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
23	23	89	89	1.0	1/4	1/4	2/2	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
23	23	90	90	1.0	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	23	91	91	1.0	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
24	24	92	92	1.0	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
24	24	93	93	3.0	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
24	24	94	94	0.0	1/2	1/2	2/2	3	1	|PAC}		G	I								PAC	}		0	0				
25	25	96	96	1.0	0	0	2/2	3	1	vi.i6{		G	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
25	25	97	97	1.0	1/4	1/4	2/2	3	1	iv		G	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
25	25	98	98	1.0	1/2	1/2	2/2	3	1	V		G	vi		V	V							M	0	1	1, 5, 2		1	1
25	25	99	99	1.0	3/4	3/4	2/2	3	1	i		G	vi		i	i							m	0	1	0, -3, 1		0	0
26	26	100	100	1.0	0	0	2/2	3	1	i6		G	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
26	26	101	101	1.0	1/4	1/4	2/2	3	1	iv		G	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
26	26	102	102	1.0	1/2	1/2	2/2	3	1	V		G	vi		V	V							M	0	1	1, 5, 2		1	1
26	26	103	103	1.0	3/4	3/4	2/2	3	1	i		G	vi		i	i							m	0	1	0, -3, 1		0	0
27	27	104	104	1.0	0	0	2/2	3	1	V.I6		G	V		I6	I		6					M	0	0	4, 1, 0		0	4
27	27	105	105	1.0	1/4	1/4	2/2	3	1	IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	27	106	106	1.0	1/2	1/2	2/2	3	1	V		G	V		V	V							M	0	0	1, 5, 2		1	1
27	27	107	107	1.0	3/4	3/4	2/2	3	1	I		G	V		I	I							M	0	0	0, 4, 1		0	0
28	28	108	108	1.0	0	0	2/2	3	1	V6		G	V		V6	V		6					M	0	0	5, 2, 1		1	5
28	28	109	109	1.0	1/4	1/4	2/2	3	1	IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
28	28	110	110	1.0	1/2	1/2	2/2	3	1	V		G	V		V	V							M	0	0	1, 5, 2		1	1
28	28	111	111	1.0	3/4	3/4	2/2	3	1	I		G	V		I	I							M	0	0	0, 4, 1		0	0
29	29	112	112	2.0	0	0	2/2	3	1	iii.i6		G	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
29	29	114	114	2.0	1/2	1/2	2/2	3	1	iv		G	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
30	30	116	116	2.0	0	0	2/2	3	1	V		G	iii		V	V							M	0	1	1, 5, 2		1	1
30	30	118	118	2.0	1/2	1/2	2/2	3	1	vi		G	iii		vi	vi							m	0	1	-4, -7, -3		-4	-4
31	31	120	120	2.0	0	0	2/2	3	1	i6		G	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
31	31	122	122	1.0	1/2	1/2	2/2	2	1	viio6		G	iii		viio6	vii	o	6					o	0	1	-5, -8, -2		-2	-5
31	31	123	123	1.0	3/4	3/4	2/2	2	1	i		G	iii		i	i							m	0	1	0, -3, 1		0	0
32	32	124	124	1.0	0	0	2/2	2	1	V(4)		G	iii		V(4)	V			4				M	0	1	1, 0, 2		1	1
32	32	125	125	1.0	1/4	1/4	2/2	2	1	V		G	iii		V	V							M	0	1	1, 5, 2		1	1
32	32	126	126	2.0	1/2	1/2	2/2	2	1	i|PAC}		G	iii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
33	33	128	128	1.0	0	0	2/2	3	1	ii.ii{		G	ii		ii	ii						{	m	0	1	2, -1, 3		2	2
33	33	129	129	1.0	1/4	1/4	2/2	3	1	ii2		G	ii		ii2	ii		2					mm7	0	1	0, 2, -1, 3		2	0
33	33	130	130	1.0	1/2	1/2	2/2	3	1	V65		G	ii		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
33	33	131	131	1.0	3/4	3/4	2/2	3	1	i		G	ii		i	i							m	0	1	0, -3, 1		0	0
34	34	132	132	1.0	0	0	2/2	3	1	V2(64)		G	ii		V2(64)	V		2	64				Mm7	0	1	-1, 1, 0, -3		1	-1
34	34	133	133	1.0	1/4	1/4	2/2	3	1	V		G	ii		V	V							M	0	1	1, 5, 2		1	1
34	34	134	134	2.0	1/2	1/2	2/2	3	1	i|PAC}		G	ii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
35	35	136	136	1.0	0	0	2/2	3	1	I.ii{		G	I		ii	ii						{	m	0	0	2, -1, 3		2	2
35	35	137	137	1.0	1/4	1/4	2/2	3	1	ii2		G	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
35	35	138	138	1.0	1/2	1/2	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
35	35	139	139	1.0	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
36	36	140	140	2.0	0	0	2/2	3	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
36	36	142	142	3.0	1/2	1/2	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
37	37	145	145	1.0	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
37	37	146	146	3.0	1/2	1/2	2/2	3	1	vi7		G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
38	38	149	149	1.0	1/4	1/4	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
38	38	150	150	1.0	1/2	1/2	2/2	2	1	I(4)		G	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
38	38	151	151	1.0	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
39	39	152	152	1.0	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
39	39	153	153	1.0	1/4	1/4	2/2	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
39	39	154	154	1.0	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	155	155	1.0	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
40	40	156	156	1.0	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
40	40	157	157	1.0	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
40	40	158	158	3.0	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
41	41	160	160	0.0	0	0	2/2	3	1	{		G	I									{		0	0				
41	41	161	161	1.0	1/4	1/4	2/2	3	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
41	41	162	162	3.0	1/2	1/2	2/2	3	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
42	42	165	165	1.0	1/4	1/4	2/2	3	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
42	42	166	166	3.0	1/2	1/2	2/2	3	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
43	43	169	169	1.0	1/4	1/4	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	43	170	170	1.0	1/2	1/2	2/2	3	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	171	171	1.0	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
44	44	172	172	1.0	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
44	44	173	173	1.0	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
44	44	174	174	1.0	1/2	1/2	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
44	44	175	175	2.0	3/4	3/4	2/2	1	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
45	45	177	177	1.0	1/4	1/4	2/2	3	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
45	45	178	178	3.0	1/2	1/2	2/2	3	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
46	46	181	181	1.0	1/4	1/4	2/2	3	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
46	46	182	182	3.0	1/2	1/2	2/2	3	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
47	47	185	185	1.0	1/4	1/4	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
47	47	186	186	1.0	1/2	1/2	2/2	3	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	47	187	187	1.0	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
48	48	188	188	1.0	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
48	48	189	189	1.0	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
48	48	190	190	2.0	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
