mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
9	9	33	1.0	1/4	1/4	4/4	4	1	vi.#viio7		above	C	vi		#viio7	#vii	o	7					o7	0	1	5, 2, -1, -4		5	5
9	9	34	1.0	1/2	1/2	4/4	4	1	i(9)		above	C	vi		i(9)	i			9				m	0	1	0, -3, 1	2	0	0
9	9	35	0.5	3/4	3/4	4/4	4	1	i6		above	C	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
9	9	71/2	0.5	7/8	7/8	4/4	4	1	iv		above	C	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
10	10	36	1.5	0	0	4/4	4	1	V(4)		above	C	vi		V(4)	V			4				M	0	1	1, 0, 2		1	1
10	10	75/2	0.5	3/8	3/8	4/4	4	1	V		above	C	vi		V	V							M	0	1	1, 5, 2		1	1
10	10	38	1.0	1/2	1/2	4/4	4	1	i|PAC}		above	C	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
10	10	77/2	0.0	5/8	5/8	4/4	4	1	{		above	C	vi									{		0	1				
10	10	39	1.0	3/4	3/4	4/4	4	1	VI6		above	C	vi		VI6	VI		6					M	0	1	0, -3, -4		-4	0
11	11	40	1.0	0	0	4/4	4	1	iio	viio/III	above	C	vi		iio	ii	o						o	0	1	2, -1, -4		2	2
11	11	41	1.0	1/4	1/4	4/4	4	1	VII6	V6/III	above	C	vi		VII6	VII		6					M	0	1	2, -1, -2		-2	2
11	11	42	1.0	1/2	1/2	4/4	4	1	iii.VI		above	C	iii		VI	VI							M	0	1	-4, 0, -3		-4	-4
11	11	43	0.5	3/4	3/4	4/4	4	1	iv6		above	C	iii		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
11	11	87/2	0.5	7/8	7/8	4/4	4	1	iio6		above	C	iii		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
12	12	44	1.0	0	0	4/4	4	1	V7		above	C	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
12	12	45	0.5	1/4	1/4	4/4	4	1	V(4)		above	C	iii		V(4)	V			4				M	0	1	1, 0, 2		1	1
12	12	91/2	0.5	3/8	3/8	4/4	4	1	V		above	C	iii		V	V							M	0	1	1, 5, 2		1	1
12	12	46	1.0	1/2	1/2	4/4	4	1	i|PAC}		above	C	iii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
12	12	47	0.5	3/4	3/4	4/4	4	1	I.I{		above	C	I		I	I						{	M	0	0	0, 4, 1		0	0
12	12	95/2	0.5	7/8	7/8	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	48	1.0	0	0	4/4	4	1	ii6	ii65	above	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
13	13	49	1.0	1/4	1/4	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	50	1.0	1/2	1/2	4/4	4	1	ii6	ii65	above	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
13	13	51	0.5	3/4	3/4	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	103/2	0.5	7/8	7/8	4/4	4	1	I		above	C	I		I	I							M	0	0	0, 4, 1		0	0
14	14	52	2.0	0	0	4/4	4	1	IV		above	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	54	1.0	1/2	1/2	4/4	4	1	V|HC}		above	C	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
14	14	109/2	0.0	5/8	5/8	4/4	4	1	{		above	C	I									{		0	0				
14	14	55	1.0	3/4	3/4	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	56	1.0	0	0	4/4	4	1	vi7		above	C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
15	15	57	1.0	1/4	1/4	4/4	4	1	ii7		above	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
15	15	58	1.0	1/2	1/2	4/4	4	1	V7		above	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	59	1.0	3/4	3/4	4/4	4	1	IM7		above	C	I		IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0
16	16	60	1.0	0	0	4/4	4	1	IV7	ii6(2)	above	C	I		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
16	16	61	1.0	1/4	1/4	4/4	4	1	V6/V		above	C	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
16	16	62	1.0	1/2	1/2	4/4	4	1	V|HC}		above	C	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
16	16	125/2	0.0	5/8	5/8	4/4	4	1	{		above	C	I									{		0	0				
16	16	63	0.5	3/4	3/4	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	127/2	0.5	7/8	7/8	4/4	4	1	I		above	C	I		I	I							M	0	0	0, 4, 1		0	0
17	17	64	1.0	0	0	4/4	4	1	IV		above	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	17	65	0.5	1/4	1/4	4/4	4	1	IV6		above	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
17	17	131/2	0.5	3/8	3/8	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	66	1.0	1/2	1/2	4/4	4	1	ii7	ii65	above	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
17	17	67	1.0	3/4	3/4	4/4	4	1	V		above	C	I		V	V							M	0	0	1, 5, 2		1	1
18	18	68	1.0	0	0	4/4	4	1	I|PAC}		above	C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
18	18	69	1.0	1/4	1/4	4/4	4	1	V6{		above	C	I		V6	V		6				{	M	0	0	5, 2, 1		1	5
18	18	70	1.0	1/2	1/2	4/4	4	1	vi	IV6	above	C	I		vi	vi							m	0	0	3, 0, 4		3	3
18	18	71	1.0	3/4	3/4	4/4	4	1	I64		above	C	I		I64	I		64					M	0	0	1, 0, 4		0	1
19	19	72	1.0	0	0	4/4	4	1	IV		above	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	73	1.0	1/4	1/4	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	74	1.0	1/2	1/2	4/4	4	1	IV		above	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	75	1.0	3/4	3/4	4/4	4	1	I		above	C	I		I	I							M	0	0	0, 4, 1		0	0
20	20	76	1.0	0	0	4/4	4	1	V(4)		above	C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
20	20	77	1.0	1/4	1/4	4/4	4	1	V		above	C	I		V	V							M	0	0	1, 5, 2		1	1
20	20	78	2.0	1/2	1/2	4/4	4	1	I|PAC}		above	C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
