mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	11	3/4	3/4	12/8	3	1	ii6		D	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	11	9/8	9/8	12/8	3	1	I6		D	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	12	0	0	12/8	3	1	ii65		D	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
13	12	3/8	3/8	12/8	3	1	V7		D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	12	3/4	3/4	12/8	3	1	I|IAC}{		D	V		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
13	12	9/8	9/8	12/8	3	1	V6		D	V		V6	V		6					M	0	0	5, 2, 1		1	5
14	13	0	0	12/8	3	1	IV6		D	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	13	3/8	3/8	12/8	3	1	iii6		D	V		iii6	iii		6					m	0	0	1, 5, 4		4	1
14	13	3/4	3/4	12/8	3	1	ii6		D	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
14	13	9/8	9/8	12/8	3	1	I6		D	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	0	0	12/8	3	1	ii65		D	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	14	3/8	3/8	12/8	3	1	V		D	V		V	V							M	0	0	1, 5, 2		1	1
15	14	3/4	3/4	12/8	3	1	I|IAC}		D	V		I	I					IAC	}	M	0	0	0, 4, 1		0	0
16	14	0	11/8	12/8	3	1	V.I{		D	V		I	I						{	M	0	0	0, 4, 1		0	0
17	15	3/4	3/4	12/8	3	1	V6		D	V		V6	V		6					M	0	0	5, 2, 1		1	5
17	15	9/8	9/8	12/8	3	1	V		D	V		V	V							M	0	0	1, 5, 2		1	1
18	16	0	0	12/8	3	1	I		D	V		I	I							M	0	0	0, 4, 1		0	0
