mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
13	13	1/4	1/4	4/4	4	1		V		below	d	III		V	V							M	1	0	1, 5, 2		1	1
13	13	1/2	1/2	4/4	4	1		I		below	d	III		I	I							M	1	0	0, 4, 1		0	0
13	13	3/4	3/4	4/4	4	1		I6		below	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
14	14	0	0	4/4	4	1		IV(9)		below	d	III		IV(9)	IV			9				M	1	0	-1, 3, 0	1	-1	-1
14	14	1/4	1/4	4/4	4	1		IV		below	d	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
14	14	3/8	3/8	4/4	4	1		ii6		below	d	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
14	14	1/2	1/2	4/4	4	1		V7		below	d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
14	14	3/4	3/4	4/4	4	1		I6		below	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	15	0	0	4/4	4	1		IV(9)		below	d	III		IV(9)	IV			9				M	1	0	-1, 3, 0	1	-1	-1
15	15	1/4	1/4	4/4	4	1		IV6		below	d	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
15	15	3/8	3/8	4/4	4	1		I6		below	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	15	1/2	1/2	4/4	4	1		IVM7		below	d	III		IVM7	IV	M	7					MM7	1	0	-1, 3, 0, 4		-1	-1
15	15	3/4	3/4	4/4	4	1		V(4)		below	d	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
15	15	7/8	7/8	4/4	4	1		V		below	d	III		V	V							M	1	0	1, 5, 2		1	1
16	16	0	0	4/4	4	1		I|PAC}{		below	d	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
16	16	1/4	1/4	4/4	4	1		I6		below	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
16	16	1/2	1/2	4/4	4	1		V(4)		below	d	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
16	16	3/4	3/4	4/4	4	1		V6		below	d	III		V6	V		6					M	1	0	5, 2, 1		1	5
16	16	7/8	7/8	4/4	4	1		i.V65		below	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
17	17	0	0	4/4	4	1		i(2)		below	d	i		i(2)	i			2				m	1	1	2, -3, 1		0	2
17	17	1/4	1/4	4/4	4	1		i6		below	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
17	17	1/2	1/2	4/4	4	1		V(4)		below	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
17	17	3/4	3/4	4/4	4	1		V		below	d	i		V	V							M	1	1	1, 5, 2		1	1
18	18	0	0	4/4	4	1		iv6(2)		below	d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
18	18	1/4	1/4	4/4	4	1		iv6		below	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
18	18	3/8	3/8	4/4	4	1		iio6		below	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
18	18	1/2	1/2	4/4	4	1		V7		below	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
18	18	3/4	3/4	4/4	4	1		V(64)	III+6	below	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
18	18	7/8	7/8	4/4	4	1		i6		below	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
19	19	0	0	4/4	4	1		bII6		below	d	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
19	19	1/8	1/8	4/4	4	1		V7		below	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
19	19	1/4	1/4	4/4	4	1		VI		below	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
19	19	3/8	3/8	4/4	4	1		ii%65		below	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
19	19	1/2	1/2	4/4	4	1		V(64)		below	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
19	19	3/4	3/4	4/4	4	1		V		below	d	i		V	V							M	1	1	1, 5, 2		1	1
20	20	0	0	4/4	4	1		i|PAC}		below	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
20	20	1/4	1/4	4/4	4	1		iv{		below	d	i		iv	iv						{	m	1	1	-1, -4, 0		-1	-1
20	20	1/2	1/2	4/4	4	1		V2		below	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
20	20	3/4	3/4	4/4	4	1		viio7/V		below	d	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
21	21	0	0	4/4	4	1		V(4)		below	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
21	21	1/4	1/4	4/4	4	1		V		below	d	i		V	V							M	1	1	1, 5, 2		1	1
21	21	1/2	1/2	4/4	4	1		i|PAC}		below	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
