mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
7	7	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
7	7	1/4	1/4	2/2	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/2	1/2	2/2	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
7	7	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
8	8	0	0	2/2	3	1	V(4)	above	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
8	8	1/4	1/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
8	8	1/2	1/2	2/2	3	1	I|PAC}	above	G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	0	0	2/2	3	1	I{	above	G	I		I	I						{	M	0	0	0, 4, 1		0	0
9	9	1/2	1/2	2/2	3	1	V6	above	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	10	0	0	2/2	3	1	vi7	above	G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
10	10	1/4	1/4	2/2	2	1	V65/V		G	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
10	10	1/2	1/2	2/2	2	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
11	11	0	0	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	2/2	2	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
11	11	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
12	12	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
12	12	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
12	12	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
13	13	0	0	2/2	3	1	{		G	I									{		0	0				
13	13	1/4	1/4	2/2	3	1	I.I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	15	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	0	0	2/2	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
16	16	1/4	1/4	2/2	3	1	ii2		G	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
16	16	1/2	1/2	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
17	17	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
17	17	1/4	1/4	2/2	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	17	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
18	18	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
18	18	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
18	18	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
19	19	0	0	2/2	3	1	{		G	I									{		0	0				
19	19	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	20	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
21	21	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	0	0	2/2	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
22	22	1/4	1/4	2/2	3	1	ii2		G	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
22	22	1/2	1/2	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	22	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
23	23	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
23	23	1/4	1/4	2/2	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
23	23	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	23	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
24	24	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
24	24	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
24	24	1/2	1/2	2/2	3	1	|PAC}		G	I								PAC	}		0	0				
25	25	0	0	2/2	3	1	vi.i6{		G	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
25	25	1/4	1/4	2/2	3	1	iv		G	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
25	25	1/2	1/2	2/2	3	1	V		G	vi		V	V							M	0	1	1, 5, 2		1	1
25	25	3/4	3/4	2/2	3	1	i		G	vi		i	i							m	0	1	0, -3, 1		0	0
26	26	0	0	2/2	3	1	i6		G	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
26	26	1/4	1/4	2/2	3	1	iv		G	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
26	26	1/2	1/2	2/2	3	1	V		G	vi		V	V							M	0	1	1, 5, 2		1	1
26	26	3/4	3/4	2/2	3	1	i		G	vi		i	i							m	0	1	0, -3, 1		0	0
27	27	0	0	2/2	3	1	V.I6		G	V		I6	I		6					M	0	0	4, 1, 0		0	4
27	27	1/4	1/4	2/2	3	1	IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	27	1/2	1/2	2/2	3	1	V		G	V		V	V							M	0	0	1, 5, 2		1	1
27	27	3/4	3/4	2/2	3	1	I		G	V		I	I							M	0	0	0, 4, 1		0	0
28	28	0	0	2/2	3	1	V6		G	V		V6	V		6					M	0	0	5, 2, 1		1	5
28	28	1/4	1/4	2/2	3	1	IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
28	28	1/2	1/2	2/2	3	1	V		G	V		V	V							M	0	0	1, 5, 2		1	1
28	28	3/4	3/4	2/2	3	1	I		G	V		I	I							M	0	0	0, 4, 1		0	0
29	29	0	0	2/2	3	1	iii.i6		G	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
29	29	1/2	1/2	2/2	3	1	iv		G	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
30	30	0	0	2/2	3	1	V		G	iii		V	V							M	0	1	1, 5, 2		1	1
30	30	1/2	1/2	2/2	3	1	vi		G	iii		vi	vi							m	0	1	-4, -7, -3		-4	-4
31	31	0	0	2/2	3	1	i6		G	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
31	31	1/2	1/2	2/2	2	1	viio6		G	iii		viio6	vii	o	6					o	0	1	-5, -8, -2		-2	-5
31	31	3/4	3/4	2/2	2	1	i		G	iii		i	i							m	0	1	0, -3, 1		0	0
32	32	0	0	2/2	2	1	V(4)		G	iii		V(4)	V			4				M	0	1	1, 0, 2		1	1
32	32	1/4	1/4	2/2	2	1	V		G	iii		V	V							M	0	1	1, 5, 2		1	1
32	32	1/2	1/2	2/2	2	1	i|PAC}		G	iii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
33	33	0	0	2/2	3	1	ii.ii{		G	ii		ii	ii						{	m	0	1	2, -1, 3		2	2
33	33	1/4	1/4	2/2	3	1	ii2		G	ii		ii2	ii		2					mm7	0	1	0, 2, -1, 3		2	0
33	33	1/2	1/2	2/2	3	1	V65		G	ii		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
33	33	3/4	3/4	2/2	3	1	i		G	ii		i	i							m	0	1	0, -3, 1		0	0
34	34	0	0	2/2	3	1	V2(64)		G	ii		V2(64)	V		2	64				Mm7	0	1	-1, 1, 0, -3		1	-1
34	34	1/4	1/4	2/2	3	1	V		G	ii		V	V							M	0	1	1, 5, 2		1	1
34	34	1/2	1/2	2/2	3	1	i|PAC}		G	ii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
35	35	0	0	2/2	3	1	I.ii{		G	I		ii	ii						{	m	0	0	2, -1, 3		2	2
35	35	1/4	1/4	2/2	3	1	ii2		G	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
35	35	1/2	1/2	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
35	35	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
36	36	0	0	2/2	3	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
36	36	1/2	1/2	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
37	37	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
37	37	1/2	1/2	2/2	3	1	vi7		G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
38	38	1/4	1/4	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
38	38	1/2	1/2	2/2	2	1	I(4)		G	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
38	38	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
39	39	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
39	39	1/4	1/4	2/2	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
39	39	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
40	40	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
40	40	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
40	40	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
41	41	1/4	1/4	2/2	3	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
41	41	1/2	1/2	2/2	3	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
42	42	1/4	1/4	2/2	3	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
42	42	1/2	1/2	2/2	3	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
43	43	1/4	1/4	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	43	1/2	1/2	2/2	3	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
44	44	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
44	44	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
44	44	1/2	1/2	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
44	44	3/4	3/4	2/2	1	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
45	45	1/4	1/4	2/2	3	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
45	45	1/2	1/2	2/2	3	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
46	46	1/4	1/4	2/2	3	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
46	46	1/2	1/2	2/2	3	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
47	47	1/4	1/4	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
47	47	1/2	1/2	2/2	3	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	47	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
48	48	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
48	48	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
48	48	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
