mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
21	21	0	0	4/4	4	1	V	c	VII		V	V							M	1	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.25	0.0
21	21	1/4	1/4	4/4	4	1	V6	c	VII		V6	V		6					M	1	0	3, 0, -1		-1	3	0	5	0.0	0.0	0.75	0.0
21	21	1/2	1/2	4/4	4	1	I	c	VII		I	I							M	1	0	-2, 2, -1		-2	-2	2	4	0.3333333333333333	0.25	1.0	0.2
21	21	3/4	3/4	4/4	4	1	I6	c	VII		I6	I		6					M	1	0	2, -1, -2		-2	2	0	5	0.0	0.0	0.75	0.0
22	22	0	0	4/4	4	1	III.I	c	III		I	I							M	1	0	-3, 1, -2		-3	-3	2	4	0.3333333333333333	0.25	0.75	0.25
22	22	1/4	1/4	4/4	4	1	I6	c	III		I6	I		6					M	1	0	1, -2, -3		-3	1	0	6	0.0	0.0	1.25	0.0
22	22	1/2	1/2	4/4	4	1	IV(9)	c	III		IV(9)	IV			9				M	1	0	-4, 0, -3	-2	-4	-4	0	5	0.0	0.0	0.75	0.0
22	22	3/4	3/4	4/4	4	1	IV6	c	III		IV6	IV		6					M	1	0	0, -3, -4		-4	0	1	5	0.16666666666666666	0.25	0.75	0.25
23	23	0	0	4/4	4	1	V7	c	III		V7	V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	0	6	0.0	0.0	1.0	0.0
23	23	1/4	1/4	4/4	4	1	vi	c	III		vi	vi							m	1	0	0, -3, 1		0	0	0	6	0.0	0.0	1.25	0.0
23	23	1/2	1/2	4/4	4	1	ii65	c	III		ii65	ii		65					mm7	1	0	-4, 0, -3, -1		-1	-4	0	5	0.0	0.0	1.0	0.0
23	23	3/4	3/4	4/4	4	1	V	c	III		V	V							M	1	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
24	24	0	0	4/4	4	1	I|PAC}{	c	III		I	I					PAC	}{	M	1	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	1.0	0.0
24	24	1/4	1/4	4/4	4	1	V6	c	III		V6	V		6					M	1	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.75	0.0
24	24	1/2	1/2	4/4	4	1	I	c	III		I	I							M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.875	0.0
24	24	3/4	3/4	4/4	4	1	V6	c	III		V6	V		6					M	1	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.75	0.0
25	25	0	0	4/4	4	1	I	c	III		I	I							M	1	0	-3, 1, -2		-3	-3	1	3	0.25	0.125	0.75	0.14285714285714285
25	25	1/4	1/4	4/4	4	1	iv.V6	c	iv		V6	V		6					M	1	1	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
25	25	1/2	1/2	4/4	4	1	i	c	iv		i	i							m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.875	0.0
25	25	3/4	3/4	4/4	4	1	V6	c	iv		V6	V		6					M	1	1	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
26	26	0	0	4/4	4	1	i	c	iv		i	i							m	1	1	-1, -4, 0		-1	-1	1	3	0.25	0.125	0.75	0.14285714285714285
