mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	4	31/2	31/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	7	5	
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	54								
5	4	16	16	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	55								
6	5	33/2	33/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	56								
6	5	35/2	35/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	57								
6	5	18	18	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	58								
6	5	37/2	37/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	59								
6	5	20	20	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	60								
6	5	33/2	33/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	61								
6	5	17	17	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	62								
6	5	35/2	35/2	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	63								
6	5	39/2	39/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	64								
6	5	33/2	33/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	7		
6	5	33/2	33/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	65								
6	5	35/2	35/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	7	5	
6	5	35/2	35/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	66								
6	5	37/2	37/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	5__	4	
6	5	37/2	37/2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	67								
6	5	39/2	39/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	_	#	
7	6	41/2	41/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	68								
7	6	21	21	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	69								
7	6	43/2	43/2	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	70								
7	6	47/2	47/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	71								
7	6	41/2	41/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	72								
7	6	22	22	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	73								
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	74								
7	6	23	23	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	75								
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	76								
7	6	24	24	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	77								
7	6	41/2	41/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	5		
7	6	41/2	41/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	78								
7	6	43/2	43/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6		
7	6	22	22	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	79								
7	6	45/2	45/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	7		
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	80								
7	6	23	23	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	81								
7	6	47/2	47/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6		
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	82								
7	6	24	24	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	83								
8	7	49/2	49/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	84								
8	7	51/2	51/2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	85								
8	7	53/2	53/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	86								
8	7	49/2	49/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	87								
8	7	26	26	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	88								
8	7	53/2	53/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	89								
8	7	49/2	49/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	7		
8	7	49/2	49/2	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	90								
8	7	51/2	51/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	6		
8	7	53/2	53/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								3/8	#		
8	7	53/2	53/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	91								
9	7	28	28	0.5	0	7/8	Chord	4/4	1	1	1/8	1/8	1	92								
9	7	28	28	0.5	0	7/8	Chord	4/4	2	1	1/8	1/8	1	93								
10	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	94								
10	8	29	29	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	95								
10	8	59/2	59/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	96								
10	8	30	30	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	97								
10	8	61/2	61/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	98								
10	8	32	32	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	99								
10	8	57/2	57/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	100								
10	8	29	29	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	101								
10	8	59/2	59/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	102								
10	8	30	30	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	103								
10	8	61/2	61/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	104								
10	8	32	32	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	105								
10	8	30	30	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	6	4+	
10	8	30	30	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	106								
10	8	61/2	61/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6		
10	8	61/2	61/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	107								
10	8	31	31	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	108								
10	8	63/2	63/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	109								
10	8	32	32	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	110								
11	9	65/2	65/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	111								
11	9	33	33	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	112								
11	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	113								
11	9	34	34	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	114								
11	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	115								
11	9	36	36	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	116								
11	9	65/2	65/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	117								
11	9	33	33	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	118								
11	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	119								
11	9	34	34	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	120								
11	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	121								
11	9	36	36	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	122								
11	9	65/2	65/2	0.0	0	0	FiguredBass	4/4	3	1	0								3/8	#		
11	9	65/2	65/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	123								
11	9	34	34	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	6\	4+	
11	9	34	34	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	124								
11	9	69/2	69/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6		
11	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	125								
11	9	35	35	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	126								
11	9	71/2	71/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6		
11	9	71/2	71/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	127								
11	9	36	36	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	128								
12	10	73/2	73/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	129								
12	10	37	37	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	130								
12	10	75/2	75/2	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	131								
12	10	79/2	79/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	132								
12	10	73/2	73/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	133								
12	10	38	38	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	134								
12	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	135								
12	10	39	39	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	136								
12	10	79/2	79/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	137								
12	10	40	40	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	138								
12	10	73/2	73/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	139								
12	10	38	38	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	#		
12	10	38	38	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	140								
12	10	77/2	77/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	7		
12	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	141								
12	10	39	39	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	142								
12	10	79/2	79/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6		
12	10	79/2	79/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	143								
12	10	40	40	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	144								
13	11	81/2	81/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	145								
13	11	83/2	83/2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	146								
13	11	85/2	85/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	147								
13	11	81/2	81/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	148								
13	11	41	41	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	149								
13	11	83/2	83/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	150								
13	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	151								
13	11	44	44	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	152								
13	11	81/2	81/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	7	#	
13	11	81/2	81/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	153								
13	11	41	41	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	154								
13	11	83/2	83/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6	4	
13	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	155								
13	11	42	42	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	156								
13	11	85/2	85/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6\	5	
13	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	157								
13	11	43	43	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	158								
13	11	87/2	87/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	5\	4	
13	11	87/2	87/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	159								
13	11	44	44	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	#		
13	11	44	44	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	160								
14	12	89/2	89/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	161								
14	12	46	46	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	162								
14	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	163								
14	12	47	47	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	164								
14	12	95/2	95/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	165								
14	12	48	48	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	166								
14	12	89/2	89/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	167								
14	12	93/2	93/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	168								
14	12	89/2	89/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	6		
14	12	89/2	89/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	169								
14	12	45	45	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	170								
14	12	91/2	91/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6		
14	12	91/2	91/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	171								
14	12	46	46	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	172								
14	12	93/2	93/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								3/8	#		
14	12	93/2	93/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	173								
14	12	48	48	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	174								
15	13	97/2	97/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	175								
15	13	50	50	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	176								
15	13	101/2	101/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	177								
15	13	51	51	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	178								
15	13	103/2	103/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	179								
15	13	52	52	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	180								
15	13	97/2	97/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	181								
15	13	101/2	101/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	182								
15	13	97/2	97/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	6		
15	13	97/2	97/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	183								
15	13	49	49	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	184								
15	13	99/2	99/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	185								
15	13	50	50	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	186								
15	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	187								
15	13	52	52	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	188								
16	14	105/2	105/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	189								
16	14	54	54	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	190								
16	14	109/2	109/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	191								
16	14	55	55	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	192								
16	14	111/2	111/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	193								
16	14	56	56	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	194								
16	14	105/2	105/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	195								
16	14	54	54	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	196								
16	14	109/2	109/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	197								
16	14	55	55	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	198								
16	14	111/2	111/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	199								
16	14	56	56	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	200								
16	14	105/2	105/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	6		
16	14	105/2	105/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	201								
16	14	53	53	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	202								
16	14	107/2	107/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	203								
16	14	54	54	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	204								
16	14	109/2	109/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	205								
16	14	56	56	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	206								
17	15	113/2	113/2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	207								
17	15	117/2	117/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	208								
17	15	113/2	113/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	209								
17	15	117/2	117/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	210								
17	15	113/2	113/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	#		
17	15	113/2	113/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	211								
17	15	57	57	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	212								
17	15	115/2	115/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	#		
17	15	115/2	115/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	213								
17	15	58	58	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	214								
17	15	117/2	117/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6		
17	15	117/2	117/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	215								
17	15	59	59	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	216								
17	15	119/2	119/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6		
17	15	119/2	119/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	217								
17	15	60	60	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	218								
18	16	121/2	121/2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	219								
18	16	125/2	125/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	220								
18	16	63	63	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	221								
18	16	127/2	127/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	222								
18	16	121/2	121/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	223								
18	16	125/2	125/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	224								
18	16	64	64	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	225								
18	16	121/2	121/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	6		
18	16	121/2	121/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	226								
18	16	61	61	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	227								
18	16	123/2	123/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6		
18	16	123/2	123/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	228								
18	16	62	62	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	229								
18	16	125/2	125/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	230								
18	16	63	63	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/8	5		
18	16	127/2	127/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6		
18	16	64	64	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	231								
19	17	129/2	129/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	232								
19	17	65	65	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	233								
19	17	131/2	131/2	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	234								
19	17	67	67	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	235								
19	17	135/2	135/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	236								
19	17	129/2	129/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	237								
19	17	66	66	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	238								
19	17	133/2	133/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	239								
19	17	68	68	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	240								
19	17	129/2	129/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	7		
19	17	129/2	129/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	241								
19	17	65	65	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	242								
19	17	131/2	131/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6		
