mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
3	2	19/2	19/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	41										
3	2	12	12	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	42										
4	3	25/2	25/2	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	43										
4	3	15	15	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	44										
4	3	31/2	31/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	45										6
4	3	16	16	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	46										
4	3	33/2	33/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	47										
4	3	17	17	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	48										7
4	3	35/2	35/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	49										
4	3	18	18	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	50										
4	3	25/2	25/2	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	51										8
4	3	13	13	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	52										
4	3	27/2	27/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	53										
4	3	14	14	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	54										9
4	3	29/2	29/2	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	55										
4	3	15	15	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	56										
4	3	31/2	31/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	57										
4	3	18	18	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	58										
4	3	25/2	25/2	0.0	0	0	FiguredBass	12/8	3	1	0										1/8	6		
4	3	25/2	25/2	0.5	0	0	Chord	12/8	3	1	1/8	1/8	1	59										
4	3	13	13	0.5	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	60										
4	3	27/2	27/2	0.5	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	61										
4	3	14	14	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	62										
4	3	29/2	29/2	0.5	1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	63										
4	3	15	15	0.5	5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	64										
4	3	31/2	31/2	0.0	3/4	3/4	FiguredBass	12/8	3	1	0										3/8	5		
4	3	31/2	31/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	65										
4	3	18	18	0.0	11/8	11/8	FiguredBass	12/8	3	1	0										1/8	6+		
4	3	18	18	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	66										
5	4	37/2	37/2	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	67										
5	4	21	21	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	68										
5	4	43/2	43/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	69										10
5	4	22	22	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	70										
5	4	45/2	45/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	71										
5	4	23	23	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	72										11
5	4	47/2	47/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	73										
5	4	24	24	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	74										
5	4	37/2	37/2	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	75										12
5	4	19	19	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	76										
5	4	39/2	39/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	77										
5	4	20	20	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	78										13
5	4	41/2	41/2	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	79										
5	4	21	21	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	80										
5	4	43/2	43/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	81										
5	4	24	24	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	82										
5	4	37/2	37/2	0.5	0	0	Chord	12/8	3	1	1/8	1/8	1	83										
5	4	19	19	0.5	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	84										
5	4	39/2	39/2	0.5	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	85										
5	4	20	20	0.0	3/8	3/8	FiguredBass	12/8	3	1	0										1/8	6	4	
5	4	20	20	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	86										
5	4	41/2	41/2	0.5	1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	87										
5	4	21	21	0.5	5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	88										
5	4	43/2	43/2	0.0	3/4	3/4	FiguredBass	12/8	3	1	0										3/8	6		
5	4	43/2	43/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	89										
5	4	24	24	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	90										
6	5	49/2	49/2	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	91										
6	5	27	27	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	92										
6	5	55/2	55/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	93										14
6	5	28	28	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	94										
6	5	57/2	57/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	95										
6	5	29	29	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	96										15
6	5	59/2	59/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	97										
6	5	30	30	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	98										
6	5	49/2	49/2	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	99										16
6	5	25	25	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	100										
6	5	51/2	51/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	101										
6	5	26	26	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	102										17
6	5	53/2	53/2	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	103										
6	5	27	27	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	104										
6	5	55/2	55/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	105										
6	5	30	30	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	106										
6	5	49/2	49/2	0.5	0	0	Chord	12/8	3	1	1/8	1/8	1	107										
6	5	25	25	0.5	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	108										
6	5	51/2	51/2	0.5	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	109										
6	5	26	26	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	110										
6	5	53/2	53/2	0.5	1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	111										
6	5	27	27	0.5	5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	112										
6	5	55/2	55/2	0.0	3/4	3/4	FiguredBass	12/8	3	1	0										3/8	#		
6	5	55/2	55/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	113										
6	5	30	30	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	114										
7	6	61/2	61/2	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	115										
7	6	33	33	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	116										
7	6	67/2	67/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	117										18
7	6	34	34	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	118										
7	6	69/2	69/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	119										
7	6	35	35	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	120										19
7	6	71/2	71/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	121										
7	6	36	36	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	122										
7	6	61/2	61/2	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	123										20
7	6	31	31	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	124										
7	6	63/2	63/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	125										
7	6	32	32	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	126										21
7	6	65/2	65/2	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	127										
7	6	33	33	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	128										
7	6	67/2	67/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	129										
7	6	36	36	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	130										
7	6	61/2	61/2	0.5	0	0	Chord	12/8	3	1	1/8	1/8	1	131										
7	6	31	31	0.5	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	132										
7	6	63/2	63/2	0.5	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	133										
7	6	32	32	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	134										
7	6	65/2	65/2	0.5	1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	135										
7	6	33	33	0.5	5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	136										
7	6	67/2	67/2	0.0	3/4	3/4	FiguredBass	12/8	3	1	0										3/8	6		
7	6	67/2	67/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	137										
7	6	36	36	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	138										
8	7	73/2	73/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	139										22
8	7	37	37	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	140										
8	7	75/2	75/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	141										
8	7	38	38	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	142										23
8	7	77/2	77/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	143										
8	7	39	39	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	144										
8	7	79/2	79/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	145										24
8	7	40	40	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	146										
8	7	81/2	81/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	147										
8	7	41	41	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	148										25
8	7	83/2	83/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	149										
8	7	42	42	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	150										
8	7	73/2	73/2	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	151										
8	7	39	39	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	152										
8	7	79/2	79/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	153										
8	7	42	42	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	154										
8	7	73/2	73/2	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	155										
8	7	38	38	0.0	3/8	3/8	FiguredBass	12/8	3	1	0										3/8	7		
8	7	38	38	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	156										
8	7	79/2	79/2	0.0	3/4	3/4	FiguredBass	12/8	3	1	0										3/8	5		
8	7	79/2	79/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	157										
8	7	41	41	0.0	9/8	9/8	FiguredBass	12/8	3	1	0										3/8	6		
8	7	41	41	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	158										
9	8	85/2	85/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	159										26
9	8	43	43	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	160										
9	8	87/2	87/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	161										
9	8	44	44	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	162										27
9	8	89/2	89/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	163										
9	8	45	45	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	164										
9	8	91/2	91/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8	1/4	3/2	165										
9	8	47	47	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	166										28
9	8	95/2	95/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	167										
9	8	48	48	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	168										
9	8	85/2	85/2	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	169										29
9	8	43	43	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	170										
9	8	87/2	87/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	171										
9	8	44	44	0.75	3/8	3/8	Chord	12/8	2	1	3/16	1/8	3/2	172										
9	8	179/4	179/4	0.75	9/16	9/16	Chord	12/8	2	1	3/16	1/8	3/2	173										
9	8	91/2	91/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	174										
9	8	48	48	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	175										
9	8	85/2	85/2	0.0	0	0	FiguredBass	12/8	3	1	0										3/8	6	5	
9	8	85/2	85/2	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	176										
9	8	44	44	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	177										
9	8	91/2	91/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	178										
9	8	47	47	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	179										
10	9	97/2	97/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	180										30
10	9	49	49	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	181										
10	9	99/2	99/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	182										
10	9	50	50	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	183										31
10	9	101/2	101/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	184										
10	9	51	51	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	185										
10	9	103/2	103/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	186										32
10	9	52	52	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	187										
10	9	105/2	105/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	188										
10	9	53	53	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	189										33
10	9	107/2	107/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	190										
10	9	54	54	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	191										
10	9	97/2	97/2	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	192										
10	9	50	50	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	193										
10	9	103/2	103/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	194										
10	9	54	54	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	195										
10	9	97/2	97/2	0.0	0	0	FiguredBass	12/8	3	1	0										3/8	4	2	
10	9	97/2	97/2	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	196										
10	9	50	50	0.0	3/8	3/8	FiguredBass	12/8	3	1	0										3/8	6		
10	9	50	50	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	197										
10	9	103/2	103/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	198										
10	9	53	53	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	199										
11	10	109/2	109/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	200										34
11	10	55	55	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	201										
11	10	111/2	111/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	202										
11	10	56	56	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	203										35
11	10	113/2	113/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	204										
11	10	57	57	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	205										
11	10	115/2	115/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	206										36
11	10	58	58	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	207										
11	10	117/2	117/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	208										
11	10	59	59	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	209										37
11	10	119/2	119/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	210										
11	10	60	60	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	211										
11	10	109/2	109/2	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	212										
11	10	56	56	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	213										
11	10	115/2	115/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	214										
11	10	60	60	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	215										
11	10	109/2	109/2	0.0	0	0	FiguredBass	12/8	3	1	0										3/8	6	5	
11	10	109/2	109/2	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	216										
11	10	56	56	0.0	3/8	3/8	FiguredBass	12/8	3	1	0										3/8	5		
11	10	56	56	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	217										
11	10	115/2	115/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	218										
11	10	59	59	0.0	9/8	9/8	FiguredBass	12/8	3	1	0										3/8	6		
11	10	59	59	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	219										
12	11	121/2	121/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	220										38
12	11	61	61	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	221										
12	11	123/2	123/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	222										
12	11	62	62	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	223										39
12	11	125/2	125/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	224										
12	11	63	63	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	225										
12	11	127/2	127/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	226										40
12	11	64	64	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	227										
12	11	129/2	129/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	228										
12	11	65	65	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	229										41
12	11	131/2	131/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	230										
12	11	66	66	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	231										
12	11	121/2	121/2	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	232										
12	11	62	62	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	233										
12	11	127/2	127/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	234										
12	11	65	65	1.5	9/8	9/8	Chord	12/8	2	1	3/8	1/4	3/2	235										
12	11	121/2	121/2	0.0	0	0	FiguredBass	12/8	3	1	0										3/8	6		
12	11	121/2	121/2	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	236										
12	11	62	62	0.0	3/8	3/8	FiguredBass	12/8	3	1	0										3/8	6	#	
12	11	62	62	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	237										
12	11	127/2	127/2	0.0	3/4	3/4	FiguredBass	12/8	3	1	0										3/8	6		
12	11	127/2	127/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	238										
12	11	65	65	0.0	9/8	9/8	FiguredBass	12/8	3	1	0										3/8	6		
12	11	65	65	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	239										
13	12	133/2	133/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	240										42
13	12	67	67	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	241										
13	12	135/2	135/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	242										
13	12	68	68	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	243										43
13	12	137/2	137/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	244										
13	12	69	69	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	245										
13	12	139/2	139/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	246										44
13	12	70	70	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	247										
13	12	141/2	141/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	248										
13	12	71	71	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	249										45
13	12	143/2	143/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	250										
13	12	72	72	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	251										
13	12	133/2	133/2	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	252										
13	12	68	68	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	253										
13	12	139/2	139/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	254										
13	12	72	72	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	255										
13	12	133/2	133/2	0.0	0	0	FiguredBass	12/8	3	1	0										3/8	6	5	
13	12	133/2	133/2	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	256										
13	12	68	68	0.0	3/8	3/8	FiguredBass	12/8	3	1	0										3/8	#		
13	12	68	68	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	257										
13	12	139/2	139/2	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	258										
13	12	71	71	0.0	9/8	9/8	FiguredBass	12/8	3	1	0										3/8	6		
13	12	71	71	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	259										
14	13	145/2	145/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	260										46
14	13	73	73	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	261										
14	13	147/2	147/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	262										
14	13	74	74	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	263										47
14	13	149/2	149/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	264										
14	13	75	75	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	265										
