mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
13	13	72	72	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	67					
13	13	75	75	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	68					
13	13	76	76	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	69					
13	13	77	77	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	70					
13	13	72	72	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	71					
13	13	75	75	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	72					
13	13	76	76	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	73					
13	13	77	77	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	74					
13	13	72	72	0.0	0	0	FiguredBass	6/4	3	1	0					3/2	56		
13	13	72	72	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	75					
14	14	78	78	4.0	0	0	Chord	6/4	1	1	1	1	1	76					
14	14	82	82	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	77					
14	14	78	78	4.0	0	0	Chord	6/4	2	1	1	1	1	78					
14	14	82	82	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	79					
14	14	78	78	0.0	0	0	FiguredBass	6/4	3	1	0					1	#		
14	14	78	78	4.0	0	0	Chord	6/4	3	1	1	1	1	80					
14	14	82	82	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	81					
15	15	84	84	4.0	0	0	Chord	6/4	1	1	1	1	1	82					
15	15	88	88	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	83					
15	15	84	84	4.0	0	0	Chord	6/4	2	1	1	1	1	84					
15	15	88	88	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	85					
15	15	84	84	0.0	0	0	FiguredBass	6/4	3	1	0					1	4	2	
15	15	84	84	4.0	0	0	Chord	6/4	3	1	1	1	1	86					
15	15	88	88	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6		
15	15	88	88	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	87					
16	16	90	90	4.0	0	0	Chord	6/4	1	1	1	1	1	88					
16	16	94	94	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	89					
16	16	90	90	4.0	0	0	Chord	6/4	2	1	1	1	1	90					
16	16	94	94	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	91					
16	16	90	90	0.0	0	0	FiguredBass	6/4	3	1	0					1	4+	2	
16	16	90	90	4.0	0	0	Chord	6/4	3	1	1	1	1	92					
16	16	94	94	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6		
16	16	94	94	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	93					
17	17	96	96	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	94					
17	17	98	98	4.0	1/2	1/2	Chord	6/4	1	1	1	1	1	95					
17	17	96	96	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	96					
17	17	98	98	3.0	1/2	1/2	Chord	6/4	2	1	3/4	1/2	3/2	97					
17	17	101	101	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	98					
17	17	96	96	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	99					
17	17	98	98	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1	7_6/		
17	17	98	98	4.0	1/2	1/2	Chord	6/4	3	1	1	1	1	100					
18	18	102	102	4.0	0	0	Chord	6/4	1	1	1	1	1	101					
18	18	106	106	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	102					
18	18	102	102	4.0	0	0	Chord	6/4	2	1	1	1	1	103					
18	18	106	106	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	104					
18	18	102	102	4.0	0	0	Chord	6/4	3	1	1	1	1	105					
18	18	106	106	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6		
18	18	106	106	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	106					
19	19	108	108	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	107					
19	19	110	110	4.0	1/2	1/2	Chord	6/4	1	1	1	1	1	108					
19	19	108	108	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	109					
19	19	110	110	4.0	1/2	1/2	Chord	6/4	2	1	1	1	1	110					
19	19	108	108	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	111					
19	19	110	110	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1	6+		
19	19	110	110	4.0	1/2	1/2	Chord	6/4	3	1	1	1	1	112					
20	20	114	114	4.0	0	0	Chord	6/4	1	1	1	1	1	113					
20	20	118	118	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	114					
20	20	114	114	4.0	0	0	Chord	6/4	2	1	1	1	1	115					
20	20	118	118	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	116					
20	20	114	114	0.0	0	0	FiguredBass	6/4	3	1	0					1	5		
20	20	114	114	4.0	0	0	Chord	6/4	3	1	1	1	1	117					
20	20	118	118	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6	#	
20	20	118	118	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	118					
21	21	120	120	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	119					
21	21	122	122	4.0	1/2	1/2	Chord	6/4	1	1	1	1	1	120					
21	21	120	120	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	121					
21	21	122	122	4.0	1/2	1/2	Chord	6/4	2	1	1	1	1	122					
21	21	120	120	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	123					
21	21	122	122	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1	6		
21	21	122	122	4.0	1/2	1/2	Chord	6/4	3	1	1	1	1	124					
22	22	126	126	4.0	0	0	Chord	6/4	1	1	1	1	1	125					
22	22	130	130	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	126					
22	22	126	126	4.0	0	0	Chord	6/4	2	1	1	1	1	127					
22	22	130	130	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	128					
22	22	126	126	0.0	0	0	FiguredBass	6/4	3	1	0					1	#		
22	22	126	126	4.0	0	0	Chord	6/4	3	1	1	1	1	129					
22	22	130	130	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	130					
23	23	132	132	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	131					
23	23	134	134	2.0	1/2	1/2	Chord	6/4	1	1	1/2	1/2	1	132					
23	23	136	136	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	133					
23	23	132	132	4.0	0	0	Chord	6/4	2	1	1	1	1	134					
23	23	136	136	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	135					
23	23	132	132	0.0	0	0	FiguredBass	6/4	3	1	0					1	76		
23	23	132	132	4.0	0	0	Chord	6/4	3	1	1	1	1	136					
23	23	136	136	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6+		
23	23	136	136	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	137					
24	24	138	138	4.0	0	0	Chord	6/4	1	1	1	1	1	138					
24	24	142	142	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	139					
24	24	138	138	4.0	0	0	Chord	6/4	2	1	1	1	1	140					
24	24	142	142	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	141					
24	24	138	138	0.0	0	0	FiguredBass	6/4	3	1	0					1	7	#	
24	24	138	138	4.0	0	0	Chord	6/4	3	1	1	1	1	142					
24	24	142	142	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	5		
24	24	142	142	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	143					
25	25	144	144	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	144					
25	25	146	146	4.0	1/2	1/2	Chord	6/4	1	1	1	1	1	145					
25	25	144	144	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	146					
25	25	146	146	3.0	1/2	1/2	Chord	6/4	2	1	3/4	1/2	3/2	147					
25	25	149	149	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	148					
25	25	144	144	0.0	0	0	FiguredBass	6/4	3	1	0					1/2	7	5	
25	25	144	144	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	149					
25	25	146	146	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1	5	4#	
25	25	146	146	4.0	1/2	1/2	Chord	6/4	3	1	1	1	1	150					
26	26	150	150	4.0	0	0	Chord	6/4	1	1	1	1	1	151					
26	26	154	154	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	152					
26	26	150	150	4.0	0	0	Chord	6/4	2	1	1	1	1	153					
26	26	154	154	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	154					
26	26	150	150	4.0	0	0	Chord	6/4	3	1	1	1	1	155					
26	26	154	154	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	156					
27	27	156	156	4.0	0	0	Chord	6/4	1	1	1	1	1	157					
27	27	160	160	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	158					
27	27	156	156	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	159					
27	27	158	158	4.0	1/2	1/2	Chord	6/4	2	1	1	1	1	160					
27	27	156	156	0.0	0	0	FiguredBass	6/4	3	1	0					3/2	5+	43	
27	27	156	156	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	161					
28	28	162	162	4.0	0	0	Chord	6/4	1	1	1	1	1	162					
28	28	166	166	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	163					
28	28	162	162	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	164					
28	28	164	164	4.0	1/2	1/2	Chord	6/4	2	1	1	1	1	165					
28	28	162	162	0.0	0	0	FiguredBass	6/4	3	1	0					1	98		
28	28	162	162	4.0	0	0	Chord	6/4	3	1	1	1	1	166					
28	28	166	166	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6	5	
28	28	166	166	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	167					
29	29	168	168	4.0	0	0	Chord	6/4	1	1	1	1	1	168					
29	29	172	172	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	169					
29	29	168	168	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	170					
29	29	170	170	4.0	1/2	1/2	Chord	6/4	2	1	1	1	1	171					
29	29	168	168	0.0	0	0	FiguredBass	6/4	3	1	0					3/2	5	43	
29	29	168	168	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	172					
30	30	174	174	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	173					
30	30	174	174	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	174					
30	30	176	176	2.0	1/2	1/2	Chord	6/4	2	1	1/2	1/2	1	175					
30	30	178	178	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	176					
30	30	174	174	0.0	0	0	FiguredBass	6/4	3	1	0					3/2	98		
30	30	174	174	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	177					
31	31	180	180	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	178					
31	31	180	180	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	179					
31	31	182	182	2.0	1/2	1/2	Chord	6/4	2	1	1/2	1/2	1	180					
31	31	184	184	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	181					
31	31	180	180	0.0	0	0	FiguredBass	6/4	3	1	0					3/2	76		
31	31	180	180	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	182					
32	32	186	186	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	183					
32	32	186	186	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	184					
32	32	188	188	3.0	1/2	1/2	Chord	6/4	2	1	3/4	1/2	3/2	185					
32	32	191	191	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	186					
32	32	186	186	0.0	0	0	FiguredBass	6/4	3	1	0					1/2	6	5	
32	32	186	186	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	187					
32	32	188	188	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1	5	4#	
32	32	188	188	4.0	1/2	1/2	Chord	6/4	3	1	1	1	1	188					
33	33	192	192	4.0	0	0	Chord	6/4	1	1	1	1	1	189					
33	33	196	196	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	190					
33	33	192	192	4.0	0	0	Chord	6/4	2	1	1	1	1	191					
33	33	196	196	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	192					
33	33	192	192	4.0	0	0	Chord	6/4	3	1	1	1	1	193					
33	33	196	196	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	194					
34	34	198	198	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	195					
34	34	200	200	4.0	1/2	1/2	Chord	6/4	1	1	1	1	1	196					
34	34	198	198	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	197					
34	34	200	200	3.0	1/2	1/2	Chord	6/4	2	1	3/4	1/2	3/2	198					
34	34	203	203	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	199					
34	34	198	198	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	200					
34	34	200	200	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1	5	4#	
34	34	200	200	4.0	1/2	1/2	Chord	6/4	3	1	1	1	1	201					
35	35	204	204	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	202					
35	35	204	204	6.0	0	0	Chord	6/4	2	1	3/2	1	3/2	203					
35	35	204	204	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	204					
