mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
5	4	27/2	27/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	89								
5	4	29/2	29/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							7/16	#			
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	90								
5	4	15	15	1.0	5/8	5/8	Chord	4/4	3	1	1/4	1/4	1	91								
5	4	16	16	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	92								
5	4	65/4	65/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	93								
6	5	33/2	33/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	94								
6	5	17	17	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	95								
6	5	35/2	35/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	96								
6	5	73/4	73/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	97								
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	98								
6	5	19	19	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	99								
6	5	20	20	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	100								
6	5	81/4	81/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	101								
6	5	33/2	33/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	102								
6	5	17	17	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	103								
6	5	35/2	35/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	104								
6	5	18	18	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	105								
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	106								
6	5	19	19	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	107								
6	5	20	20	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	108								
6	5	81/4	81/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	109								
6	5	33/2	33/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6			
6	5	33/2	33/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	110								
6	5	17	17	0.0	1/8	1/8	FiguredBass	4/4	3	1	0							1/8	#			
6	5	17	17	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	111								
6	5	35/2	35/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6			
6	5	35/2	35/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	112								
6	5	18	18	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	6	5		
6	5	18	18	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	113								
6	5	37/2	37/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	5	4		
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	114								
6	5	19	19	0.0	5/8	5/8	FiguredBass	4/4	3	1	0							5/16	h			
6	5	19	19	1.0	5/8	5/8	Chord	4/4	3	1	1/4	1/4	1	115								
6	5	20	20	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	116								
6	5	81/4	81/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	117								
7	6	41/2	41/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	118								
7	6	21	21	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	119								
7	6	43/2	43/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	120								
7	6	89/4	89/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	121								
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	122								
7	6	23	23	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	123								
7	6	24	24	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	124								
7	6	97/4	97/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	125								
7	6	41/2	41/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	126								
7	6	21	21	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	127								
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	128								
7	6	22	22	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	129								
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	130								
7	6	23	23	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	131								
7	6	24	24	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	132								
7	6	97/4	97/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	133								
7	6	41/2	41/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6			
7	6	41/2	41/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	134								
7	6	21	21	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	135								
7	6	43/2	43/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6			
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	136								
7	6	22	22	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	6	b5		
7	6	22	22	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	137								
7	6	45/2	45/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	5	b4		
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	138								
7	6	23	23	0.0	5/8	5/8	FiguredBass	4/4	3	1	0							1/4	3			
7	6	23	23	1.0	5/8	5/8	Chord	4/4	3	1	1/4	1/4	1	139								
7	6	24	24	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	5	#		
7	6	24	24	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	140								
8	7	49/2	49/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	141								
8	7	25	25	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	142								
8	7	51/2	51/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	143								
8	7	26	26	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	144								
8	7	53/2	53/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	145								
8	7	27	27	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	146								
8	7	28	28	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	147								
8	7	49/2	49/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	148								
8	7	25	25	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	149								
8	7	51/2	51/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	150								
8	7	105/4	105/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	151								
8	7	53/2	53/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	152								
8	7	27	27	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	153								
8	7	28	28	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	154								
8	7	49/2	49/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	7			
8	7	49/2	49/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	155								
8	7	25	25	0.0	1/8	1/8	FiguredBass	4/4	3	1	0							1/8	6			
8	7	51/2	51/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	5			
8	7	51/2	51/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	156								
8	7	53/2	53/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	9	4		
8	7	53/2	53/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	157								
8	7	27	27	0.0	5/8	5/8	FiguredBass	4/4	3	1	0							3/8	8	3		
8	7	28	28	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	158								
9	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	159								
9	8	29	29	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	160								
9	8	30	30	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	161								
9	8	61/2	61/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	162								
9	8	31	31	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	163								
9	8	32	32	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	164								
9	8	57/2	57/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	165								
9	8	29	29	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	166								
9	8	59/2	59/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	167								
9	8	30	30	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	168								
9	8	61/2	61/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	169								
9	8	31	31	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	170								
9	8	32	32	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	171								
9	8	57/2	57/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	#			
9	8	57/2	57/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	172								
9	8	29	29	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	173								
9	8	59/2	59/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	7			
9	8	59/2	59/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	174								
9	8	30	30	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	5			
9	8	30	30	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	175								
9	8	61/2	61/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	5	4		
9	8	61/2	61/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	176								
9	8	31	31	0.0	5/8	5/8	FiguredBass	4/4	3	1	0							1/8	3			
9	8	31	31	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	177								
9	8	63/2	63/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	6			
9	8	63/2	63/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	178								
9	8	32	32	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	179								
10	9	65/2	65/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	180								
10	9	33	33	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	181								
10	9	67/2	67/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	182								
10	9	137/4	137/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	183								
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	184								6
10	9	35	35	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	185								
10	9	71/2	71/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	186								7
10	9	36	36	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	187								
10	9	65/2	65/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	188								
10	9	33	33	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	189								
10	9	67/2	67/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	190								
10	9	137/4	137/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	191								
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	192								
10	9	35	35	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	193								
10	9	36	36	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	194								
10	9	65/2	65/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	7			
10	9	65/2	65/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	195								
10	9	33	33	0.0	1/8	1/8	FiguredBass	4/4	3	1	0							1/8	b6			
10	9	67/2	67/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	b5			
10	9	67/2	67/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	196								
10	9	69/2	69/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	b4			
10	9	69/2	69/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	197								
10	9	35	35	0.0	5/8	5/8	FiguredBass	4/4	3	1	0							1/8	3			
10	9	71/2	71/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
10	9	71/2	71/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	198								
11	10	73/2	73/2	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	199								8
11	10	147/4	147/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	200								
11	10	37	37	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	201								9
11	10	149/4	149/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	202								
11	10	75/2	75/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	203								
11	10	153/4	153/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	204								
11	10	77/2	77/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	205								
11	10	79/2	79/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	206								
11	10	40	40	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	207								
11	10	73/2	73/2	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	208								
11	10	149/4	149/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	209								
11	10	75/2	75/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	210								
11	10	153/4	153/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	211								
11	10	77/2	77/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	212								
11	10	79/2	79/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	213								
11	10	73/2	73/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	4+	3b	
11	10	73/2	73/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	214								
11	10	37	37	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	215								
11	10	75/2	75/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							3/16	5	4		
11	10	75/2	75/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	216								
11	10	38	38	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	217								
11	10	153/4	153/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#			
11	10	77/2	77/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	218								
11	10	79/2	79/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
11	10	79/2	79/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	219								
12	11	81/2	81/2	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	220								10
12	11	163/4	163/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	221								
12	11	41	41	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	222								11
12	11	165/4	165/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	223								
12	11	83/2	83/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	224								
12	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	225								
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	226								
12	11	81/2	81/2	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	227								
12	11	165/4	165/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	228								
12	11	83/2	83/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	229								
12	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	230								
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	231								
12	11	81/2	81/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	4+	b3	
12	11	81/2	81/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	232								
12	11	41	41	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	233								
12	11	83/2	83/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							3/16	5	4		
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	234								
12	11	42	42	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	235								
12	11	169/4	169/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#			
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	236								
13	11	177/4	177/4	0.25	1/16	15/16	Chord	4/4	1	1	1/16	1/16	1	237								
13	11	177/4	177/4	0.25	1/16	15/16	Chord	4/4	2	1	1/16	1/16	1	238								
13	11	177/4	177/4	0.0	1/16	15/16	FiguredBass	4/4	3	1	0							5/16	#			
13	11	177/4	177/4	0.25	1/16	15/16	Chord	4/4	3	1	1/16	1/16	1	239								
