mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
37	35	105	105	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	260									
37	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	261									
38	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	262									
38	36	107	107	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	263									
38	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	264									
38	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	265									
38	36	107	107	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	266									
38	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	267									
38	36	106	106	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	7b		
38	36	106	106	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	268									
38	36	107	107	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									3/8	8	#	
38	36	107	107	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	269									
38	36	217/2	217/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0									1/8	7		
39	37	109	109	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	270									
39	37	221/2	221/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	271									
39	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	272									
39	37	109	109	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	273									
39	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	274									
39	37	109	109	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	275									
39	37	111	111	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6		
39	37	111	111	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	276									
40	38	112	112	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	277									1
40	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	278									
40	38	113	113	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	279									
40	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	280									
40	38	112	112	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	281									
40	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	282									
40	38	113	113	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	283									
40	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	284									
40	38	112	112	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	7		
40	38	112	112	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	285									
40	38	113	113	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									3/8	6	b	
40	38	113	113	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	286									
40	38	229/2	229/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0									1/8	5		
41	39	115	115	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	287									
41	39	115	115	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	288									
41	39	115	115	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	#		
41	39	115	115	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	289									
41	39	117	117	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	290									
42	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	291									
42	40	119	119	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	292									
42	40	241/2	241/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	293									
42	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	294									
42	40	119	119	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	295									
42	40	118	118	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
42	40	118	118	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	296									
42	40	119	119	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	6	5	
42	40	119	119	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	297									
43	41	121	121	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	298									
43	41	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	299									
43	41	121	121	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	300									
43	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	301									
43	41	121	121	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	b		
43	41	121	121	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	302									
43	41	123	123	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	#		
43	41	123	123	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	303									
44	42	124	124	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	304									
44	42	125	125	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	305									
44	42	253/2	253/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	306									
44	42	124	124	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	307									
44	42	125	125	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	308									
44	42	253/2	253/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	309									
44	42	124	124	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
44	42	124	124	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	310									
44	42	125	125	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	6	5	
44	42	125	125	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	311									
45	43	127	127	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	312									
45	43	257/2	257/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	313									
45	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	314									
45	43	127	127	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	315									
45	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	316									
45	43	127	127	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	b		
45	43	127	127	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	317									
45	43	129	129	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	#		
45	43	129	129	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	318									
46	44	130	130	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	319									2
46	44	261/2	261/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	320									
46	44	131	131	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	321		ornamentTrill							
46	44	265/2	265/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	322									
46	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	323									
46	44	131	131	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	324									
46	44	265/2	265/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	325									
46	44	130	130	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	326									
46	44	261/2	261/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	327									
46	44	131	131	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	#		
46	44	131	131	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	328									
46	44	132	132	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	329									
47	45	133	133	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	330									
47	45	135	135	0.0	1/2	1/2	Dynamic	3/4	1	1	0				p								
47	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	331									
47	45	133	133	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	332									
47	45	135	135	0.0	1/2	1/2	Dynamic	3/4	2	1	0				p								
47	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	333									
47	45	133	133	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	b		
47	45	133	133	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	334									
47	45	135	135	0.0	1/2	1/2	Dynamic	3/4	3	1	0				p								
47	45	135	135	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6	4+	
47	45	135	135	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	335									
48	46	136	136	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	336									
48	46	137	137	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	337									
48	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	338									
48	46	136	136	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	339									
48	46	137	137	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	340									
48	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	341									
48	46	136	136	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
48	46	136	136	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	342									
48	46	137	137	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	6	5	
48	46	137	137	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	343									
49	47	139	139	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	344									
49	47	281/2	281/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	345									
49	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	346									
49	47	139	139	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	347									
49	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	348									
49	47	139	139	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	b		
49	47	139	139	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	349									
49	47	141	141	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	7	#	
49	47	141	141	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	350									
50	48	142	142	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	351									3
50	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	352									
50	48	143	143	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	353		ornamentTrill							
50	48	289/2	289/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	354									
50	48	142	142	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	355									
50	48	143	143	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	356									
50	48	289/2	289/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	357									
50	48	142	142	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	358									
50	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	359									
50	48	143	143	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	#		
50	48	143	143	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	360									
51	49	145	145	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	361									
51	49	145	145	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	362									
51	49	145	145	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	363									
52	50	148	148	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	364									
52	50	148	148	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	365									
52	50	148	148	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	366									
