mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	48									
4	3	11	11	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	49									
4	3	23/2	23/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	50									
4	3	49/4	49/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	51									
4	3	17/2	17/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	52									
4	3	9	9	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	53									
4	3	19/2	19/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	54									
4	3	10	10	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	55									2
4	3	41/4	41/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	56									
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	57									
4	3	11	11	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	58									
4	3	23/2	23/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	59									
4	3	49/4	49/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	60									
4	3	17/2	17/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	7	#		
4	3	17/2	17/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	61									
4	3	19/2	19/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	62									
4	3	21/2	21/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6	4[+]		
4	3	21/2	21/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	63									
4	3	11	11	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/8	7	5		
4	3	23/2	23/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								3/16	5__	4		
4	3	23/2	23/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	64									
4	3	49/4	49/4	0.0	15/16	15/16	FiguredBass	4/4	3	1	0								1/16	_	#		
5	4	25/2	25/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	65									
5	4	13	13	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	66									
5	4	14	14	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	67									
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	68									
5	4	15	15	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	69									
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	70									
5	4	16	16	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	71									
5	4	25/2	25/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	72									
5	4	27/2	27/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	73									
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	74									
5	4	15	15	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	75									
5	4	16	16	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	76									
5	4	25/2	25/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	77									
5	4	13	13	0.0	1/8	1/8	FiguredBass	4/4	3	1	0								1/8	6			
5	4	13	13	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	78									
5	4	27/2	27/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6	5		
5	4	27/2	27/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	79									
5	4	14	14	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	#			
5	4	14	14	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	80									
5	4	29/2	29/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	 			
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	81									
5	4	15	15	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/8	6			
5	4	15	15	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	82									
5	4	31/2	31/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6	5		
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	83									
5	4	16	16	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	#			
5	4	16	16	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	84									
6	5	33/2	33/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	85									
6	5	17	17	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	86									
6	5	35/2	35/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	87									
6	5	73/4	73/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	88									
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	89									
6	5	19	19	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	90									
6	5	77/4	77/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	91									
6	5	39/2	39/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	92									
6	5	33/2	33/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	93									
6	5	17	17	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	94									
6	5	35/2	35/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	95									
6	5	73/4	73/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	96									
6	5	37/2	37/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	97									
6	5	20	20	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	98									
6	5	33/2	33/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	99									
6	5	17	17	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	100									
6	5	35/2	35/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	5 6			
6	5	35/2	35/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	101									
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	102									
6	5	20	20	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	6			
6	5	20	20	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	103									
7	6	41/2	41/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	104									
7	6	21	21	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	105									
7	6	22	22	1.0	3/8	3/8	Chord	4/4	1	1	1/4	1/4	1	106									
7	6	23	23	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	107									
7	6	24	24	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	108									
7	6	41/2	41/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	109									
7	6	43/2	43/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	110									
7	6	45/2	45/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	111									
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	112									
7	6	24	24	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	113									
7	6	41/2	41/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	7			
7	6	41/2	41/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	114									
7	6	21	21	0.0	1/8	1/8	FiguredBass	4/4	3	1	0								1/8	7			
7	6	21	21	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	115									
7	6	43/2	43/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	7			
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	116									
7	6	22	22	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	7			
7	6	22	22	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	117									
7	6	45/2	45/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	7			
7	6	45/2	45/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	118									
7	6	23	23	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/8	7			
7	6	23	23	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	119									
7	6	47/2	47/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	7			
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	120									
7	6	24	24	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	7			
7	6	24	24	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	121									
8	7	49/2	49/2	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	122									
8	7	99/4	99/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	123									
8	7	25	25	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	124									
8	7	101/4	101/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	125									
8	7	51/2	51/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	126									
8	7	105/4	105/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	127									
8	7	53/2	53/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	128									
8	7	27	27	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	129									
8	7	28	28	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	130									
8	7	49/2	49/2	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	131									3
8	7	99/4	99/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	132									
8	7	25	25	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	133									
8	7	51/2	51/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	134									
8	7	105/4	105/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	135									
8	7	53/2	53/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	136									
8	7	55/2	55/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	137									
8	7	49/2	49/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	6			
8	7	49/2	49/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	138									
8	7	25	25	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	139									
8	7	51/2	51/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	5__	4		
8	7	51/2	51/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	140									
8	7	26	26	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	_	3		
8	7	26	26	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	141									
8	7	53/2	53/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	142									
8	7	55/2	55/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	6	5		
8	7	55/2	55/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	143									
9	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	144									
9	8	29	29	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	145									
9	8	30	30	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	146									
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	147									
9	8	63/2	63/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	148									
9	8	57/2	57/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	149									
9	8	59/2	59/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	150									
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	151									
9	8	63/2	63/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	152									
9	8	57/2	57/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	153									
9	8	59/2	59/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	6	5		
9	8	59/2	59/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	154									
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	155									
9	8	63/2	63/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	#			
9	8	63/2	63/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	156									
10	9	65/2	65/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	157									
10	9	33	33	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	158									
10	9	133/4	133/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	159									
10	9	67/2	67/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	160									
10	9	137/4	137/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	161									
10	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	162									
10	9	65/2	65/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	163									
10	9	34	34	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	164									4
10	9	137/4	137/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	165									
10	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	166									
10	9	65/2	65/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/2	7 6			
10	9	65/2	65/2	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	167									
10	9	69/2	69/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								3/8	#			
10	9	69/2	69/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	168									
11	9	145/4	145/4	0.25	1/16	15/16	Chord	4/4	1	1	1/16	1/16	1	169									
11	9	145/4	145/4	0.25	1/16	15/16	Chord	4/4	2	1	1/16	1/16	1	170									
11	9	145/4	145/4	0.0	1/16	15/16	FiguredBass	4/4	3	1	0								1/16	#			
11	9	145/4	145/4	0.25	1/16	15/16	Chord	4/4	3	1	1/16	1/16	1	171									
12	10	73/2	73/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	172									
12	10	151/4	151/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	173									
12	10	38	38	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	174									
12	10	153/4	153/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	175									
12	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	176									
12	10	39	39	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	177									
12	10	79/2	79/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	178									
12	10	161/4	161/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	179									
12	10	73/2	73/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	180									
12	10	38	38	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	181									
12	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	182									
12	10	39	39	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	183									
12	10	79/2	79/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	184									
12	10	161/4	161/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	185									
12	10	73/2	73/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	186									
12	10	37	37	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	187									
12	10	75/2	75/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6			
12	10	75/2	75/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	188									
12	10	38	38	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	189									
12	10	77/2	77/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	5			
12	10	77/2	77/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	190									
12	10	79/2	79/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	5 6			
12	10	79/2	79/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	191									
13	11	81/2	81/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	192									
13	11	41	41	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	193									
13	11	42	42	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	194									5
13	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	195									
13	11	85/2	85/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	196									6
13	11	171/4	171/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	197									
13	11	43	43	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	198									7
13	11	173/4	173/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	199									
13	11	87/2	87/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	200									
13	11	177/4	177/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	201									
13	11	81/2	81/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	202									
13	11	41	41	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	203									
13	11	42	42	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	204									8
13	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	205									
13	11	85/2	85/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	206									9
13	11	171/4	171/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	207									
13	11	43	43	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	208									10
13	11	173/4	173/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	209									
13	11	87/2	87/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	210									
13	11	177/4	177/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	211									
13	11	81/2	81/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	212									
13	11	41	41	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	213									
13	11	83/2	83/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6			
13	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	214									
13	11	42	42	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	215									
13	11	85/2	85/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6	5		
13	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	216									
13	11	43	43	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	217									
13	11	87/2	87/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	5__	4		
13	11	87/2	87/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	218									
13	11	44	44	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	_	3		
13	11	44	44	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	219									
14	12	89/2	89/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	220									
14	12	46	46	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	221									
14	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	222									11
14	12	47	47	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	223									
14	12	48	48	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	224									
14	12	89/2	89/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	225									
14	12	46	46	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	226									
14	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	227									12
14	12	47	47	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	228									
14	12	48	48	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	229									
14	12	89/2	89/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	230									
14	12	45	45	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	231									
14	12	181/4	181/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	232									
14	12	91/2	91/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6			
14	12	91/2	91/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	233									
14	12	46	46	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	234									
14	12	93/2	93/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6	4		
14	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	235									
14	12	47	47	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/16	5	3		
14	12	47	47	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	236									
14	12	189/4	189/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	237									
14	12	95/2	95/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6			
14	12	95/2	95/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	238									
14	12	48	48	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	5			
