mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
21	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	174											
21	19	56	56	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	175											
21	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	176											
21	19	57	57	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	177											
21	19	109/2	109/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	178											
22	20	115/2	115/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	179											
22	20	115/2	115/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	180											
22	20	115/2	115/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/8	6		
22	20	115/2	115/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	181											
22	20	58	58	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	182											
22	20	117/2	117/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	183											
22	20	59	59	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	184											
22	20	119/2	119/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	185											
22	20	60	60	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	186											
23	21	121/2	121/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	187											
23	21	61	61	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	188											
23	21	123/2	123/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	189											
23	21	62	62	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	190											
23	21	125/2	125/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	191											
23	21	63	63	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	192											
23	21	121/2	121/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	193											
23	21	61	61	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	194											
23	21	123/2	123/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	195											
23	21	62	62	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	196											
23	21	125/2	125/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	197											
23	21	63	63	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	198											
23	21	121/2	121/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	199											
24	22	127/2	127/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	200											
24	22	127/2	127/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	201											
24	22	127/2	127/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/8	6		
24	22	127/2	127/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	202											
24	22	64	64	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	203											
24	22	129/2	129/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	204											
24	22	65	65	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	205											
24	22	131/2	131/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	206											
24	22	66	66	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	207											
25	23	133/2	133/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	208											
25	23	67	67	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	209											
25	23	135/2	135/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	210											
25	23	68	68	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	211											
25	23	137/2	137/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	212											
25	23	69	69	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	213											
25	23	133/2	133/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	214											
25	23	137/2	137/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	215											
25	23	133/2	133/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	216											
26	24	139/2	139/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	217											
26	24	139/2	139/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	218											
26	24	139/2	139/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/8	6		
26	24	139/2	139/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	219											
26	24	70	70	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	220											
26	24	141/2	141/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	221											
26	24	71	71	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	222											
26	24	143/2	143/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	223											
26	24	72	72	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	224											
27	25	145/2	145/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	225											
27	25	73	73	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	226											
27	25	147/2	147/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	227											
27	25	74	74	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	228											
27	25	149/2	149/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	229											
27	25	75	75	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	230											
27	25	145/2	145/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	231											
27	25	149/2	149/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	232											
27	25	145/2	145/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	233											
28	26	151/2	151/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	234											
28	26	151/2	151/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	235											
28	26	151/2	151/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/8	6		
28	26	151/2	151/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	236											
28	26	76	76	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	237											
28	26	153/2	153/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	238											
28	26	77	77	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	239											
28	26	155/2	155/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	240											
28	26	78	78	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	241											
29	27	157/2	157/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	242											
29	27	79	79	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	243											
29	27	159/2	159/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	244											
29	27	80	80	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	245											
29	27	161/2	161/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	246											
29	27	81	81	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	247											
29	27	157/2	157/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	248											
29	27	161/2	161/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	249											
29	27	157/2	157/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	250											
29	27	161/2	161/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	6		
29	27	161/2	161/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	251											
30	28	163/2	163/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	252											
30	28	82	82	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	253											
30	28	165/2	165/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	254											
30	28	83	83	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	255											
30	28	167/2	167/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	256											
30	28	84	84	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	257											
30	28	163/2	163/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	258											
30	28	167/2	167/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	259											
30	28	163/2	163/2	0.0	0	0	FiguredBass	3/4	3	1	0											1/2	5		
30	28	163/2	163/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	260											
30	28	167/2	167/2	0.0	1/2	1/2	FiguredBass	3/4	3	1	0											1/4	6		
30	28	167/2	167/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	261											
31	29	169/2	169/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	262											
31	29	86	86	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	263											
