mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	6		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	59								
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	9\		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	60								
5	5	19	19	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6		
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	61								
5	5	39/2	39/2	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	6	5	
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	62								
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	63								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	64								
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	65								
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	66								
6	6	21	21	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	67								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	68								
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	69								
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	#		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	70								
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	7		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	71								
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/4	6		
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	72								
7	7	25	25	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	73								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	74								
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	75								
7	7	26	26	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	76								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	77								
7	7	24	24	0.0	0	0	FiguredBass	4/4	3	1	0								3/8	#		
7	7	24	24	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	78								
7	7	51/2	51/2	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	6		
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	79								
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	9		
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	80								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	81								
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	6		
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	82								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	83								
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	84								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	85								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	86								
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	87								
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	88								
8	8	29	29	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	89								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	90								
8	8	28	28	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	7	#	
8	8	28	28	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	91								
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	92								
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	5		
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	93								
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	94								
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6\	5	
8	8	30	30	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	95								
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	96								
8	8	31	31	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	#		
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	97								
8	8	63/2	63/2	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	_		
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	98								
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	99								
9	9	33	33	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	100								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	101								
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	102								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	103								
9	9	32	32	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	104								
9	9	67/2	67/2	0.0	3/8	3/8	FiguredBass	4/4	3	1	0								1/8	6		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	105								
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6	5	
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	106								
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	107								
9	9	35	35	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	#		
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	108								
9	9	71/2	71/2	0.0	7/8	7/8	FiguredBass	4/4	3	1	0								1/8	_		
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	109								
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	110								
10	10	37	37	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	111								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	112								
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	113								
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	114								
10	10	36	36	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	9		
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	115								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	116								
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6		
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	117								
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	118								
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	5\	4	
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	119								
10	10	77/2	77/2	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/8	_		
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	120								
10	10	39	39	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	8	6	
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	121								
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	122								
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	123								
11	11	41	41	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	124								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	125								
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	126								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	127								
11	11	40	40	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	9		
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	128								
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	129								
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6		
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	130								
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	131								
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	5	4	
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	132								
11	11	85/2	85/2	0.0	5/8	5/8	FiguredBass	4/4	3	1	0								1/8	_		
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	133								
11	11	43	43	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	8	6	
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	134								
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	135								
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	136								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	137								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	138								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	139								
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	140								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	141								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	142								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	143								
12	12	44	44	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	8	6	
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	144								
12	12	45	45	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	7	5	
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	#		
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	145								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	146								
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	147								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	148								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	149								
13	13	48	48	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	150								
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	151								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	152								
13	13	48	48	0.0	0	0	FiguredBass	4/4	3	1	0								1/4	5	4	
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	153								
13	13	49	49	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/4	_	#	
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	154								
