mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
15	13	201/4	201/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	245											
15	13	101/2	101/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	246											10
15	13	203/4	203/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	247											
15	13	51	51	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	248											11
15	13	205/4	205/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	249											
15	13	103/2	103/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	250											
15	13	209/4	209/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	251											
15	13	97/2	97/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	7b			
15	13	97/2	97/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	252											
15	13	49	49	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	253											
15	13	50	50	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	6			
15	13	50	50	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	254											
15	13	101/2	101/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	255											
15	13	51	51	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	256											
15	13	103/2	103/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	257											
15	13	52	52	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	258											
16	14	105/2	105/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	259											
16	14	54	54	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	260											12
16	14	217/4	217/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	261											
16	14	109/2	109/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	262											
16	14	55	55	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	263											13
16	14	221/4	221/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	264											
16	14	111/2	111/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	265											
16	14	225/4	225/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	266											
16	14	105/2	105/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	267											
16	14	54	54	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	268											
16	14	109/2	109/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	269											
16	14	55	55	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	270											14
16	14	221/4	221/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	271											
16	14	111/2	111/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	272											
16	14	225/4	225/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	273											
16	14	105/2	105/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	274											
16	14	107/2	107/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	5			
16	14	107/2	107/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	275											
16	14	54	54	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	6			
16	14	109/2	109/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	6			
16	14	109/2	109/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	276											
16	14	55	55	0.0	5/8	5/8	FiguredBass	4/4	3	1	0										1/8	6	5		
16	14	55	55	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	277											
16	14	111/2	111/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	5	4		
16	14	111/2	111/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	278											
16	14	56	56	0.0	7/8	7/8	FiguredBass	4/4	3	1	0										1/8	3			
16	14	56	56	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	279											
17	15	113/2	113/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	280											
17	15	57	57	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	281											
17	15	58	58	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	282											
17	15	233/4	233/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	283											
17	15	117/2	117/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	284											
17	15	235/4	235/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	285											
17	15	59	59	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	286											
17	15	237/4	237/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	287											
17	15	119/2	119/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	288											
17	15	241/4	241/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	289											
17	15	113/2	113/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	290											
17	15	115/2	115/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	291											
17	15	117/2	117/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	292											
17	15	59	59	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	293											
17	15	119/2	119/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	294											
17	15	60	60	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	295											
17	15	113/2	113/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	b			
17	15	113/2	113/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	296											
17	15	115/2	115/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	b7			
17	15	115/2	115/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	297											
17	15	58	58	0.0	3/8	3/8	FiguredBass	4/4	3	1	0										1/8	6			
17	15	117/2	117/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	b			
17	15	117/2	117/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	298											
17	15	59	59	0.0	5/8	5/8	FiguredBass	4/4	3	1	0										1/8	b			
17	15	59	59	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	299											
17	15	119/2	119/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	5	4		
17	15	119/2	119/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	300											
17	15	60	60	0.0	7/8	7/8	FiguredBass	4/4	3	1	0										1/8	h			
17	15	60	60	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	301											
18	16	121/2	121/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	302											
18	16	62	62	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	303											15
18	16	249/4	249/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	304											
18	16	125/2	125/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	305											
18	16	63	63	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	306											
18	16	64	64	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	307											16
18	16	257/4	257/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	308											
18	16	121/2	121/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	309											
18	16	123/2	123/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	310											
18	16	125/2	125/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	311											
18	16	127/2	127/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	312											
18	16	121/2	121/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	b			
18	16	121/2	121/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	313											
18	16	123/2	123/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/4	6			
18	16	123/2	123/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	314											
18	16	125/2	125/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	315											
18	16	127/2	127/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6			
18	16	127/2	127/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	316											
19	17	129/2	129/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	317											
19	17	65	65	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	318											
19	17	66	66	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	319											17
19	17	265/4	265/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	320											
19	17	133/2	133/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	321											
19	17	67	67	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	322											
19	17	68	68	0.0	7/8	7/8	StaffText	4/4	1	1	0				piano										
19	17	68	68	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	323											18
19	17	273/4	273/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	324											
19	17	129/2	129/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	325											
19	17	131/2	131/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	326											
19	17	133/2	133/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	327											
19	17	135/2	135/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	328											
19	17	129/2	129/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	329											
19	17	131/2	131/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/4	6	5	b	
19	17	131/2	131/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	330											
19	17	133/2	133/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	#			
19	17	133/2	133/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	331											
19	17	135/2	135/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6			
19	17	135/2	135/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	332											
20	18	137/2	137/2	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	333											19
20	18	275/4	275/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	334											
20	18	69	69	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	335											20
20	18	277/4	277/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	336											
20	18	139/2	139/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	337											
20	18	281/4	281/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	338											
20	18	141/2	141/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	339											
20	18	72	72	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	340											21
20	18	289/4	289/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	341											
20	18	137/2	137/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	342											
20	18	69	69	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	343											
20	18	139/2	139/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	344											
20	18	281/4	281/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	345											
20	18	141/2	141/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	346											
20	18	143/2	143/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	347											
20	18	137/2	137/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	b			
20	18	137/2	137/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	348											
20	18	69	69	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	349											
20	18	139/2	139/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										3/16	5	4		
20	18	139/2	139/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	350											
20	18	281/4	281/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0										1/16	#3			
20	18	141/2	141/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	351											
20	18	143/2	143/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6			
20	18	143/2	143/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	352											
21	19	145/2	145/2	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	353											22
21	19	291/4	291/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	354											
21	19	73	73	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	355											23
21	19	293/4	293/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	356											
21	19	147/2	147/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	357											
21	19	297/4	297/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	358											
21	19	149/2	149/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	359											
21	19	145/2	145/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	360											
21	19	73	73	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	361											
21	19	147/2	147/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	362											
21	19	297/4	297/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	363											
21	19	149/2	149/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	364											
21	19	145/2	145/2	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	b			
21	19	145/2	145/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	365											
21	19	73	73	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	366											
21	19	147/2	147/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										3/16	5	4		
21	19	147/2	147/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	367											
21	19	297/4	297/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0										1/16	#			
21	19	149/2	149/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	368											
