mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	25				
2	2	10	10	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	26				
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	27				
2	2	11	11	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	28				
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	29				
2	2	6	6	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	30				
2	2	15/2	15/2	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	31				
2	2	9	9	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	32				
2	2	6	6	0.0	0	0	FiguredBass	12/8	4	1	0				3/8	7		
2	2	6	6	1.5	0	0	Chord	12/8	4	1	3/8	1/4	3/2	33				
2	2	15/2	15/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	#		
2	2	15/2	15/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	34				
2	2	9	9	1.5	3/4	3/4	Chord	12/8	4	1	3/8	1/4	3/2	35				
3	3	12	12	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	36				
3	3	27/2	27/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	37				
3	3	15	15	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	38				
3	3	16	16	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	39				
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	40				
3	3	17	17	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	41				
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	42				
3	3	12	12	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	43				
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	44				
3	3	13	13	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	45				
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	46				
3	3	14	14	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	47				
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	48				
3	3	15	15	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	49				
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	50				
3	3	16	16	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	51				
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	52				
3	3	17	17	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	53				
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	54				
3	3	12	12	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	55				
3	3	27/2	27/2	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	56				
3	3	15	15	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	57				
3	3	33/2	33/2	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	58				
3	3	12	12	0.0	0	0	FiguredBass	12/8	4	1	0				3/8	b		
3	3	12	12	1.5	0	0	Chord	12/8	4	1	3/8	1/4	3/2	59				
3	3	27/2	27/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	6		
3	3	27/2	27/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	60				
3	3	15	15	1.5	3/4	3/4	Chord	12/8	4	1	3/8	1/4	3/2	61				
3	3	33/2	33/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				3/8	6		
3	3	33/2	33/2	1.5	9/8	9/8	Chord	12/8	4	1	3/8	1/4	3/2	62				
4	4	18	18	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	63				
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	64				
4	4	19	19	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	65				
4	4	39/2	39/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	66				
4	4	21	21	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	67				
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	68				
4	4	22	22	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	69				
4	4	45/2	45/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	70				
4	4	23	23	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	71				
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	72				
4	4	18	18	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	73				
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	74				
4	4	19	19	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	75				
4	4	39/2	39/2	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	76				
4	4	21	21	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	77				
4	4	18	18	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	78				
4	4	39/2	39/2	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	79				
4	4	21	21	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	80				
4	4	18	18	0.0	0	0	FiguredBass	12/8	4	1	0				3/8	7	5	
4	4	18	18	1.5	0	0	Chord	12/8	4	1	3/8	1/4	3/2	81				
4	4	39/2	39/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	#		
4	4	39/2	39/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	82				
4	4	21	21	0.0	3/4	3/4	FiguredBass	12/8	4	1	0				3/8	b		
4	4	21	21	3.0	3/4	3/4	Chord	12/8	4	1	3/4	1/2	3/2	83				
4	4	45/2	45/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				3/8	7	#	
5	5	24	24	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	84				
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	85				
5	5	25	25	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	86				
5	5	51/2	51/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	87				
5	5	26	26	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	88				
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	89				
5	5	27	27	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	90				
5	5	55/2	55/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	91				
5	5	28	28	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	92				
5	5	57/2	57/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	93				
5	5	29	29	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	94				
5	5	59/2	59/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	95				
5	5	24	24	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	96				
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	97				
5	5	25	25	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	98				
5	5	51/2	51/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	99				
5	5	26	26	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	100				
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	101				
5	5	27	27	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	102				
5	5	55/2	55/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	103				
5	5	28	28	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	104				
5	5	57/2	57/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	105				
5	5	29	29	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	106				
5	5	59/2	59/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	107				
5	5	24	24	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	108				
5	5	27	27	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	109				
5	5	24	24	0.0	0	0	FiguredBass	12/8	4	1	0				3/8	6	4	
5	5	24	24	3.0	0	0	Chord	12/8	4	1	3/4	1/2	3/2	110				
5	5	51/2	51/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	7	5	#
5	5	27	27	0.0	3/4	3/4	FiguredBass	12/8	4	1	0				3/8	6	4	
5	5	27	27	3.0	3/4	3/4	Chord	12/8	4	1	3/4	1/2	3/2	111				
5	5	57/2	57/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				3/8	7	5	#
6	6	30	30	1.0	0	0	Chord	12/8	1	1	1/4	1/4	1	112				
6	6	31	31	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	113				
6	6	63/2	63/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	114				
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	115				
6	6	33	33	1.0	3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	116				
6	6	34	34	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	117				
6	6	69/2	69/2	1.5	9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	118				
6	6	30	30	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	119				
6	6	61/2	61/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	120				
6	6	31	31	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	121				
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	122				
6	6	32	32	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	123				
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	124				
6	6	33	33	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	125				
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	126				
6	6	35	35	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	127				
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	128				
6	6	30	30	0.5	0	0	Chord	12/8	3	1	1/8	1/8	1	129				
6	6	61/2	61/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	130				
6	6	31	31	0.5	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	131				
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	132				
6	6	32	32	0.5	1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	133				
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	134				
6	6	33	33	0.5	3/4	3/4	Chord	12/8	3	1	1/8	1/8	1	135				
6	6	67/2	67/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8	1/8	1	136				
6	6	34	34	0.5	1	1	Chord	12/8	3	1	1/8	1/8	1	137				
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8	1/8	1	138				
6	6	35	35	0.5	5/4	5/4	Chord	12/8	3	1	1/8	1/8	1	139				
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	140				
6	6	30	30	1.5	0	0	Chord	12/8	4	1	3/8	1/4	3/2	141				
6	6	63/2	63/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	6\		
6	6	63/2	63/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	142				
6	6	33	33	0.0	3/4	3/4	FiguredBass	12/8	4	1	0				3/8	6		
6	6	33	33	1.5	3/4	3/4	Chord	12/8	4	1	3/8	1/4	3/2	143				
6	6	69/2	69/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				1/8	b		
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8	1/8	1	144				
6	6	35	35	0.5	5/4	5/4	Chord	12/8	4	1	1/8	1/8	1	145				
6	6	71/2	71/2	0.0	11/8	11/8	FiguredBass	12/8	4	1	0				1/8	b7		
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8	1/8	1	146				
7	7	36	36	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	147				
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	148				
7	7	37	37	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	149				
7	7	75/2	75/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	150				
7	7	39	39	1.5	3/4	3/4	Chord	12/8	1	1	3/8	1/4	3/2	151				
7	7	81/2	81/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	152				
7	7	41	41	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	153				
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	154				
7	7	36	36	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	155				
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	156				
7	7	37	37	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	157				
7	7	75/2	75/2	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	158				
7	7	39	39	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	159				
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	160				
7	7	40	40	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	161				
7	7	81/2	81/2	1.5	9/8	9/8	Chord	12/8	2	1	3/8	1/4	3/2	162				
7	7	36	36	0.5	0	0	Chord	12/8	3	1	1/8	1/8	1	163				
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	164				
7	7	37	37	0.5	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	165				
7	7	75/2	75/2	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	166				
7	7	39	39	1.5	3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	167				
7	7	81/2	81/2	1.5	9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	168				
7	7	36	36	0.5	0	0	Chord	12/8	4	1	1/8	1/8	1	169				
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8	1/8	1	170				
7	7	37	37	0.5	1/4	1/4	Chord	12/8	4	1	1/8	1/8	1	171				
7	7	75/2	75/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	#		
7	7	75/2	75/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	172				
7	7	39	39	1.5	3/4	3/4	Chord	12/8	4	1	3/8	1/4	3/2	173				
7	7	81/2	81/2	1.5	9/8	9/8	Chord	12/8	4	1	3/8	1/4	3/2	174				
8	8	42	42	1.5	0	0	Chord	12/8	1	1	3/8	1/4	3/2	175				
8	8	87/2	87/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	176				
8	8	44	44	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	177				
8	8	89/2	89/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	178				
8	8	45	45	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	179				
8	8	91/2	91/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	180				
8	8	46	46	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	181				
8	8	93/2	93/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	182				
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	183				
8	8	42	42	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	184				
8	8	85/2	85/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	185				
8	8	43	43	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	186				
8	8	87/2	87/2	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	187				
8	8	45	45	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	188				
8	8	91/2	91/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	189				
8	8	46	46	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	190				
8	8	93/2	93/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	191				
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	192				
8	8	42	42	1.5	0	0	Chord	12/8	3	1	3/8	1/4	3/2	193				
8	8	87/2	87/2	1.5	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	194				
8	8	45	45	3.0	3/4	3/4	Chord	12/8	3	1	3/4	1/2	3/2	195				
8	8	42	42	0.0	0	0	FiguredBass	12/8	4	1	0				3/8	6		
8	8	42	42	1.5	0	0	Chord	12/8	4	1	3/8	1/4	3/2	196				
8	8	87/2	87/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	6		
8	8	87/2	87/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	197				
8	8	45	45	0.0	3/4	3/4	FiguredBass	12/8	4	1	0				3/8	7		
8	8	45	45	3.0	3/4	3/4	Chord	12/8	4	1	3/4	1/2	3/2	198				
8	8	93/2	93/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				3/8	6		
9	9	48	48	3.0	0	0	Chord	12/8	1	1	3/4	1/2	3/2	199				
9	9	51	51	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	200				
9	9	103/2	103/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	201				
9	9	52	52	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	202				
9	9	105/2	105/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	203				
9	9	53	53	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	204				
9	9	107/2	107/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	205				
9	9	48	48	3.0	0	0	Chord	12/8	2	1	3/4	1/2	3/2	206				
9	9	48	48	3.0	0	0	Chord	12/8	3	1	3/4	1/2	3/2	207				
9	9	48	48	0.0	0	0	FiguredBass	12/8	4	1	0				3/4	#		
9	9	48	48	3.0	0	0	Chord	12/8	4	1	3/4	1/2	3/2	208				
9	9	51	51	0.0	3/4	3/4	FiguredBass	12/8	4	1	0				3/8	b		
9	9	51	51	1.5	3/4	3/4	Chord	12/8	4	1	3/8	1/4	3/2	209				
9	9	105/2	105/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				3/8	6	5	
9	9	105/2	105/2	1.5	9/8	9/8	Chord	12/8	4	1	3/8	1/4	3/2	210				
10	10	54	54	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	211				
10	10	109/2	109/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	212				
10	10	55	55	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	213				
10	10	111/2	111/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	214				
10	10	56	56	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	215				
10	10	113/2	113/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	216				
10	10	57	57	1.5	3/4	3/4	Chord	12/8	1	1	3/8	1/4	3/2	217				
10	10	117/2	117/2	1.5	9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	218				
10	10	54	54	0.5	0	0	Chord	12/8	2	1	1/8	1/8	1	219				
10	10	109/2	109/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	220				
10	10	55	55	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	221				
10	10	111/2	111/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	222				
10	10	56	56	0.5	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	223				
10	10	113/2	113/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	224				
10	10	57	57	1.5	3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	225				
10	10	117/2	117/2	1.5	9/8	9/8	Chord	12/8	2	1	3/8	1/4	3/2	226				
10	10	57	57	0.5	3/4	3/4	Chord	12/8	3	1	1/8	1/8	1	227				
10	10	115/2	115/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8	1/8	1	228				
10	10	58	58	0.5	1	1	Chord	12/8	3	1	1/8	1/8	1	229				
10	10	117/2	117/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8	1/8	1	230				
10	10	59	59	0.5	5/4	5/4	Chord	12/8	3	1	1/8	1/8	1	231				
10	10	119/2	119/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	232				
10	10	54	54	1.5	0	0	Chord	12/8	4	1	3/8	1/4	3/2	233				
10	10	111/2	111/2	0.0	3/8	3/8	FiguredBass	12/8	4	1	0				3/8	7	#	
10	10	111/2	111/2	1.5	3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	234				
10	10	57	57	1.5	3/4	3/4	Chord	12/8	4	1	3/8	1/4	3/2	235				
10	10	117/2	117/2	0.0	9/8	9/8	FiguredBass	12/8	4	1	0				3/8	6\		
10	10	117/2	117/2	1.5	9/8	9/8	Chord	12/8	4	1	3/8	1/4	3/2	236				
11	11	60	60	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	237				
11	11	121/2	121/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	238				
11	11	61	61	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	239				
11	11	123/2	123/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	240				
11	11	63	63	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	241				
11	11	127/2	127/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	242				
11	11	64	64	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	243				
11	11	129/2	129/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	244				
11	11	65	65	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	245				
11	11	131/2	131/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	246				
11	11	60	60	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	247				
11	11	125/2	125/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	248				
11	11	63	63	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	249				
11	11	127/2	127/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	250				
11	11	64	64	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	251				
11	11	129/2	129/2	1.5	9/8	9/8	Chord	12/8	2	1	3/8	1/4	3/2	252				
11	11	60	60	0.5	0	0	Chord	12/8	3	1	1/8	1/8	1	253				
11	11	121/2	121/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	254				
11	11	61	61	0.5	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	255				
11	11	123/2	123/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	256				
11	11	62	62	0.5	1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	257				
11	11	125/2	125/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	258				
11	11	63	63	0.5	3/4	3/4	Chord	12/8	3	1	1/8	1/8	1	259				
11	11	127/2	127/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8	1/8	1	260				
11	11	64	64	0.5	1	1	Chord	12/8	3	1	1/8	1/8	1	261				
11	11	129/2	129/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8	1/8	1	262				
11	11	65	65	0.5	5/4	5/4	Chord	12/8	3	1	1/8	1/8	1	263				
11	11	131/2	131/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	264				
11	11	60	60	0.0	0	0	FiguredBass	12/8	4	1	0				3/8	6		
