mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
15	15	42	42	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	71							
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	72							
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	73							
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	74							
15	15	42	42	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	
15	15	42	42	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	75							
15	15	44	44	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	5
15	15	44	44	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	76							
16	16	45	45	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	77							
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	78							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	79							
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	80							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	81							
16	16	45	45	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	82							
16	16	47	47	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	7	5
16	16	47	47	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	83							
17	17	48	48	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	84							
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	85							
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	86							
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	87							
17	17	48	48	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#	
17	17	48	48	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	88							
17	17	50	50	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	89							
18	18	51	51	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	90							
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	91							
19	19	54	54	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	92							
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	93							
19	19	54	54	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	94							
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	95							
19	19	54	54	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	h	
19	19	54	54	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	96							
20	20	57	57	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	97							
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	98							
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	99							
20	20	57	57	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	100							
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	101							
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	102							
20	20	57	57	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	
20	20	57	57	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	103							
20	20	59	59	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	7	5
20	20	59	59	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	104							
21	21	60	60	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	105							
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	106							
21	21	60	60	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	107							
21	21	60	60	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	#	
21	21	60	60	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	108							
22	22	63	63	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	109							
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	110							
22	22	63	63	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	
22	22	63	63	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	111							
23	23	66	66	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	112							
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	113							
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	114							
23	23	66	66	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	115							
23	23	66	66	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	5
23	23	66	66	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	116							
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	117							
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	118							
24	24	69	69	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	119							
24	24	69	69	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	#	
24	24	69	69	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	120							
25	25	72	72	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	121							
25	25	72	72	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	122							
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	123							
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	124							
25	25	72	72	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	9	
25	25	72	72	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	125							
25	25	73	73	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/4	8	
25	25	74	74	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6\	
25	25	74	74	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	126							
26	26	75	75	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	127							
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	128							
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	129							
26	26	75	75	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	130							
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	131							
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	132							
26	26	75	75	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	
26	26	75	75	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	133							
27	27	78	78	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	134							
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	135							
27	27	78	78	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	136							
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	137							
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	138							
27	27	78	78	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	6	4+
27	27	78	78	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	139							
27	27	79	79	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/2	7	5
28	28	81	81	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	140							
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	141							
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	142							
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	143							
28	28	82	82	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	144							
28	28	81	81	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	6	4
28	28	81	81	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	145							
28	28	82	82	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/2	5	#
29	29	84	84	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	146							
29	29	84	84	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	147							
29	29	84	84	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	148							
30	30	87	87	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	149							
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	150							
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	151							
30	30	87	87	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	152							
30	30	87	87	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	5
30	30	87	87	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	153							
31	31	90	90	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	154							
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	155							
31	31	90	90	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	156							
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	157							
31	31	90	90	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	158							
31	31	92	92	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	#	
31	31	92	92	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	159							
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	160							
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	161							
32	32	93	93	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	162							
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	163							
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	164							
32	32	93	93	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	5	
32	32	93	93	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	165							
32	32	95	95	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	
33	33	96	96	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	166							
33	33	96	96	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	167							
33	33	96	96	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	#	
33	33	96	96	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	168							
34	34	99	99	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#	
34	34	99	99	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	169							
34	34	101	101	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	170							
35	35	102	102	0.0	0	0	FiguredBass	3/4	3	1	0								3/8	#	
35	35	102	102	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	171							
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	172							
35	35	104	104	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	
35	35	104	104	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	173							
36	36	105	105	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6\	
36	36	105	105	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	174							
36	36	107	107	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	175							
37	37	108	108	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	176							
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	177							
37	37	108	108	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	#	
37	37	108	108	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	178							
38	38	111	111	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	179							
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	180							
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	181							
38	38	111	111	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	
38	38	111	111	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	182							
38	38	113	113	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	7	
38	38	113	113	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	183							
39	39	114	114	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	184	ornamentTrill						
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	185							
39	39	114	114	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#	
39	39	114	114	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	186							
39	39	116	116	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	b	
39	39	116	116	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	187							
40	40	117	117	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	188							
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	189							
40	40	117	117	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	190							
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	191							
40	40	117	117	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	192							
41	41	120	120	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	193							
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	194							
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	195							
41	41	120	120	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	196							
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	197							
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	198							
41	41	120	120	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	
41	41	120	120	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	199							
41	41	122	122	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	7	5
41	41	122	122	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	200							
42	42	123	123	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	201	ornamentTrill						
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	202							
42	42	123	123	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	203							
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	204							
42	42	123	123	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#	
42	42	123	123	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	205							
43	43	126	126	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	206							
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	207							
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	208							
43	43	126	126	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	209							
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	210							
43	43	126	126	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	211							
43	43	128	128	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	5	
43	43	128	128	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	212							
44	44	129	129	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	213							
44	44	129	129	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	214							
44	44	129	129	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	215							
45	45	132	132	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	216							
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	217							
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	218							
45	45	132	132	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	219							
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	220							
45	45	132	132	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	
45	45	132	132	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	221							
46	46	135	135	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	222							
46	46	135	135	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	223							
46	46	135	135	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	
46	46	135	135	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	224							
47	47	138	138	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	225							
47	47	138	138	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	226							
47	47	138	138	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	5	
47	47	138	138	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	227							
48	48	141	141	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	228							
48	48	141	141	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	229							
48	48	141	141	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	4	3
48	48	141	141	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	230							
49	49	144	144	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	231							
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	232							
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	233							
49	49	144	144	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	234							
49	49	144	144	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	
49	49	144	144	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	235							
50	50	147	147	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	236							
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	237							
50	50	149	149	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	238							
50	50	147	147	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	239							
50	50	147	147	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	240							
51	51	150	150	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	241							
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	242							
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	243							
51	51	150	150	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	244							
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	245							
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	246							
51	51	150	150	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	4
51	51	150	150	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	247							
51	51	152	152	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	5	3
52	52	153	153	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	248							
52	52	153	153	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	249							
52	52	153	153	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	250							
53	53	156	156	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	251							
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	252							
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	253							
53	53	156	156	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	254							
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	255							
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	256							
53	53	156	156	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	257							
54	54	159	159	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	258							
54	54	159	159	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	259							
54	54	159	159	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	
54	54	159	159	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	260							
55	55	162	162	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	261							
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	262							
