mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur	Trill:downprall
16	13	75	78	1.0		3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	251											
16	13	76	79	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	252											
16	13	153/2	159/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	253											
16	13	155/2	161/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	254											
16	13	72	75	0.0		0	0	Dynamic	12/8	2	1	0				f										
16	13	72	75	1.0		0	0	Chord	12/8	2	1	1/4	1/4	1	255											
16	13	73	76	0.5		1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	256											
16	13	147/2	153/2	0.5		3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	257										26	
16	13	74	77	0.5		1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	258										26	
16	13	149/2	155/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	259											
16	13	75	78	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	260											
16	13	76	79	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	261											
16	13	153/2	159/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	262											
16	13	155/2	161/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	263											
16	13	72	75	0.0		0	0	Dynamic	12/8	3	1	0				f										
16	13	72	75	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	264											
16	13	75	78	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	265											
17	14	78	81	1.0		0	0	Chord	12/8	1	1	1/4	1/4	1	266											
17	14	79	82	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	267											
17	14	159/2	165/2	1.5		3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	268											
17	14	81	84	1.5		3/4	3/4	Chord	12/8	1	1	3/8	1/4	3/2	269											
17	14	165/2	171/2	1.5		9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	270											
17	14	78	81	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	271											
17	14	161/2	167/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	272											
17	14	81	84	0.5		3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	273										27	
17	14	163/2	169/2	0.5		7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	274										27	
17	14	82	85	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	275											
17	14	167/2	173/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	276											
17	14	78	81	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	277											
17	14	159/2	165/2	0.0		3/8	3/8	FiguredBass	12/8	3	1	0										3/8	6			
17	14	159/2	165/2	1.5		3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	278											
17	14	81	84	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										3/8	5			
17	14	81	84	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	279											
17	14	165/2	171/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										3/8	6			
17	14	165/2	171/2	1.5		9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	280											
18	15	84	87	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	281											
18	15	171/2	177/2	1.5		3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	282											
18	15	87	90	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	283										28	
18	15	175/2	181/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	284										28	
18	15	88	91	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	285											
18	15	177/2	183/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	286											
18	15	179/2	185/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	287											
18	15	84	87	0.5		0	0	Chord	12/8	2	1	1/8	1/8	1	288										29	
18	15	169/2	175/2	0.5		1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	289										29	
18	15	85	88	0.5		1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	290											
18	15	173/2	179/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	291											
18	15	87	90	0.5		3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	292										30	
18	15	175/2	181/2	0.5		7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	293										30	
18	15	88	91	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	294											
18	15	177/2	183/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	295											
18	15	179/2	185/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	296											
18	15	84	87	0.0		0	0	FiguredBass	12/8	3	1	0										3/8	5			
18	15	84	87	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	297											
18	15	173/2	179/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	6			
18	15	173/2	179/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	298											
18	15	87	90	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/8	5	b		
18	15	87	90	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	299											
18	15	175/2	181/2	0.0		7/8	7/8	FiguredBass	12/8	3	1	0										1/8	6			
18	15	88	91	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	300											
18	15	177/2	183/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										1/4	5	4		
18	15	177/2	183/2	1.0		9/8	9/8	Chord	12/8	3	1	1/4	1/4	1	301											
18	15	179/2	185/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	3			
18	15	179/2	185/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	302											
19	16	90	93	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	303											
19	16	183/2	189/2	1.0		3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	304											
19	16	185/2	191/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	305											
19	16	93	96	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	306										31	
19	16	187/2	193/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	307										31	
19	16	94	97	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	308											
19	16	189/2	195/2	0.0		9/8	9/8	Spanner	12/8	1	1	0														0
19	16	189/2	195/2	1.5		9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	309											0
19	16	90	93	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	310											
19	16	183/2	189/2	1.0		3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	311											
19	16	185/2	191/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	312											
19	16	93	96	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	313											
19	16	94	97	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	314											
19	16	189/2	195/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	315											
19	16	191/2	197/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	316											
19	16	90	93	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	317											
19	16	185/2	191/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	#			
19	16	185/2	191/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	318											
19	16	93	96	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/4	6			
19	16	93	96	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	319											
19	16	94	97	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	320											
19	16	189/2	195/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										1/4	5	4		
19	16	189/2	195/2	1.0		9/8	9/8	Chord	12/8	3	1	1/4	1/4	1	321											
19	16	191/2	197/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	#			
19	16	191/2	197/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	322											
20	17	96	99	0.0		0	0	Spanner	12/8	1	1	0														
20	17	96	99	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	323											
20	17	195/2	201/2	1.0		3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	324											
20	17	197/2	203/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	325											
20	17	99	102	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	326											
20	17	199/2	205/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	327											
20	17	100	103	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	328											
20	17	201/2	207/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	329											
20	17	203/2	209/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	330											
20	17	96	99	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	331											
20	17	197/2	203/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	332											
20	17	99	102	1.5		3/4	3/4	Chord	12/8	2	1	3/8	1/4	3/2	333											
20	17	203/2	209/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	334											
20	17	96	99	0.0		0	0	FiguredBass	12/8	3	1	0										3/8	b			
20	17	96	99	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	335											
20	17	197/2	203/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	#			
20	17	197/2	203/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	336											
20	17	99	102	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										3/8	6			
20	17	99	102	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	337											
20	17	203/2	209/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	7	b		
20	17	203/2	209/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	338											
21	18	102	105	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	339											
21	18	209/2	215/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	340											
21	18	105	108	1.5		3/4	3/4	Chord	12/8	1	1	3/8	1/4	3/2	341											
21	18	215/2	221/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	342											
21	18	102	105	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	343											
21	18	209/2	215/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	344											
21	18	105	108	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	345										32	
21	18	106	109	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	346											
21	18	215/2	221/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	347											
21	18	102	105	0.0		0	0	FiguredBass	12/8	3	1	0										3/8	#			
21	18	102	105	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	348											
21	18	207/2	213/2	0.0		3/8	3/8	FiguredBass	12/8	3	1	0										3/8	6			
21	18	207/2	213/2	1.5		3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	349											
21	18	105	108	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/4	9	h		
21	18	105	108	1.5		3/4	3/4	Chord	12/8	3	1	3/8	1/4	3/2	350											
21	18	106	109	0.0		1	1	FiguredBass	12/8	3	1	0										1/8	8			
21	18	213/2	219/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										3/8	7	#		
21	18	213/2	219/2	1.5		9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	351											
22	19	108	111	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	352											
22	19	221/2	227/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	353											
22	19	111	114	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	354										33	
22	19	223/2	229/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	355										33	
22	19	112	115	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	356											
22	19	225/2	231/2	1.5		9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	357											
22	19	108	111	1.0		0	0	Chord	12/8	2	1	1/4	1/4	1	358										34	
22	19	109	112	0.5		1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	359											
22	19	221/2	227/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	360											
22	19	111	114	0.5		3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	361										35	
22	19	223/2	229/2	0.5		7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	362										35	
22	19	112	115	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	363											
22	19	225/2	231/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	364											
22	19	227/2	233/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	365											
22	19	108	111	0.0		0	0	FiguredBass	12/8	3	1	0										1/4	6			
22	19	108	111	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	366											
22	19	109	112	0.0		1/4	1/4	FiguredBass	12/8	3	1	0										1/8	5			
22	19	219/2	225/2	0.0		3/8	3/8	FiguredBass	12/8	3	1	0										3/8	6			
22	19	219/2	225/2	1.5		3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	367											
22	19	111	114	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/8	5			
22	19	111	114	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	368											
22	19	223/2	229/2	0.0		7/8	7/8	FiguredBass	12/8	3	1	0										1/8	6			
22	19	112	115	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	369											
22	19	225/2	231/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										1/4	5	4		
22	19	225/2	231/2	1.0		9/8	9/8	Chord	12/8	3	1	1/4	1/4	1	370											
22	19	227/2	233/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	#			
22	19	227/2	233/2	0.5		11/8	11/8	Chord	12/8	3	1	1/8	1/8	1	371											
23	20	114	117	1.0		0	0	Chord	12/8	1	1	1/4	1/4	1	372											
23	20	115	118	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	373											
23	20	231/2	237/2	1.0		3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	374											
23	20	233/2	239/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	375											
23	20	117	120	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	376										36	
23	20	235/2	241/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	377										36	
23	20	118	121	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	378											
23	20	237/2	243/2	1.5		9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	379											
23	20	114	117	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	380											
23	20	233/2	239/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	381											
23	20	117	120	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	382											
23	20	118	121	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	383											
23	20	237/2	243/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	384											
23	20	239/2	245/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	385											
23	20	114	117	1.5		0	0	Chord	12/8	3	1	3/8	1/4	3/2	386											
23	20	233/2	239/2	0.0		5/8	5/8	FiguredBass	12/8	3	1	0										1/8	#			
23	20	233/2	239/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	387											
23	20	117	120	0.0		3/4	3/4	FiguredBass	12/8	3	1	0										1/8	6			
23	20	117	120	0.5		3/4	3/4	Chord	12/8	3	1	1/8	1/8	1	388											
23	20	235/2	241/2	0.5		7/8	7/8	Chord	12/8	3	1	1/8	1/8	1	389											
23	20	118	121	0.5		1	1	Chord	12/8	3	1	1/8	1/8	1	390											
23	20	237/2	243/2	0.0		9/8	9/8	FiguredBass	12/8	3	1	0										1/4	5	4		
23	20	237/2	243/2	1.5		9/8	9/8	Chord	12/8	3	1	3/8	1/4	3/2	391											
23	20	239/2	245/2	0.0		11/8	11/8	FiguredBass	12/8	3	1	0										1/8	#			
24	21		123	1.5	1	0	0	Chord	12/8	1	1	3/8	1/4	3/2	392											
24	21		125	0.5	1	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	393											
24	21		251/2	0.5	1	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	394											
24	21		123	1.5	1	0	0	Chord	12/8	2	1	3/8	1/4	3/2	395											
24	21		125	0.5	1	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	396											
24	21		251/2	0.5	1	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	397											
24	21		123	1.5	1	0	0	Chord	12/8	3	1	3/8	1/4	3/2	398											
24	21		249/2	1.5	1	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	399											
25	21	120	126	1.5	2	0	0	Chord	12/8	1	1	3/8	1/4	3/2	400											
25	21	243/2	255/2	1.5	2	3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	401											
25	21	120	126	1.5	2	0	0	Chord	12/8	2	1	3/8	1/4	3/2	402											
25	21	243/2	255/2	1.5	2	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	403											
25	21	120	126	1.5	2	0	0	Chord	12/8	3	1	3/8	1/4	3/2	404											
25	21	243/2	255/2	1.5	2	3/8	3/8	Chord	12/8	3	1	3/8	1/4	3/2	405											
