mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
4	3	41/4	41/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	26						
4	3	21/2	21/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	27						
4	3	45/4	45/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	28						
4	3	23/2	23/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	29						
4	3	49/4	49/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	30						
4	3	17/2	17/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	31						
4	3	19/2	19/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	32						
4	3	21/2	21/2	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	33						
4	3	45/4	45/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	34						
4	3	23/2	23/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	35						
4	3	49/4	49/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	36						
4	3	17/2	17/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6	5
4	3	17/2	17/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	37						
4	3	19/2	19/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	#	
4	3	19/2	19/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	38						
4	3	21/2	21/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	39						
4	3	23/2	23/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6	
4	3	23/2	23/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	40						
5	4	25/2	25/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	41						
5	4	14	14	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	42						
5	4	29/2	29/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	43						
5	4	25/2	25/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	44						
5	4	14	14	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	45						
5	4	29/2	29/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	46						
5	4	25/2	25/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6	5
5	4	25/2	25/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	47						
5	4	27/2	27/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	5	4
5	4	27/2	27/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	48						
5	4	14	14	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	_	#
5	4	29/2	29/2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	49						
6	5	33/2	33/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	50						
6	5	18	18	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	51						
6	5	37/2	37/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	52						
6	5	20	20	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	53						
6	5	33/2	33/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	54						
6	5	18	18	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	55						
6	5	37/2	37/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	56						
6	5	20	20	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	57						
6	5	33/2	33/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	58						
6	5	18	18	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	59						
6	5	37/2	37/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	6	
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	60						
6	5	19	19	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	61						
6	5	39/2	39/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	6	
6	5	39/2	39/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	62						
6	5	20	20	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	63						
7	6	41/2	41/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	64						
7	6	85/4	85/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	65						
7	6	43/2	43/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	66						
7	6	89/4	89/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	67						
7	6	45/2	45/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	68						
7	6	93/4	93/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	69						
7	6	47/2	47/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	70						
7	6	41/2	41/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	71						
7	6	43/2	43/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	72						
7	6	45/2	45/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	73						
7	6	24	24	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	74						
7	6	41/2	41/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	7	
7	6	41/2	41/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	75						
7	6	21	21	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	76						
7	6	43/2	43/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6\	
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	77						
7	6	22	22	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	78						
7	6	45/2	45/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/4	#	
7	6	45/2	45/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	79						
7	6	24	24	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	6	#
7	6	24	24	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	80						
8	7	49/2	49/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	81						
8	7	51/2	51/2	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	82						
8	7	55/2	55/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	83						
8	7	49/2	49/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	84						
8	7	26	26	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	85						
8	7	53/2	53/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	86						
8	7	28	28	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	87						
8	7	49/2	49/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	7	
8	7	49/2	49/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	88						
8	7	25	25	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	89						
8	7	51/2	51/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	
8	7	51/2	51/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	90						
8	7	26	26	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	91						
8	7	53/2	53/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	7	
8	7	53/2	53/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	92						
8	7	27	27	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	93						
8	7	55/2	55/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	6	
8	7	55/2	55/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	94						
8	7	28	28	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	95						
9	8	57/2	57/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	96						
9	8	117/4	117/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	97						
9	8	59/2	59/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	98						
9	8	121/4	121/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	99						
9	8	61/2	61/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	100						
9	8	32	32	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	101						
9	8	57/2	57/2	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	102						
9	8	117/4	117/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	103						
9	8	59/2	59/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	104						
9	8	121/4	121/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	105						
9	8	61/2	61/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	106						
9	8	32	32	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	107						
9	8	57/2	57/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	7	#
9	8	57/2	57/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	108						
9	8	29	29	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	109						
9	8	59/2	59/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6\	4
9	8	59/2	59/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	110						
9	8	30	30	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	111						
9	8	61/2	61/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	6	5
9	8	61/2	61/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	112						
9	8	31	31	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	113						
9	8	63/2	63/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	5	4
9	8	63/2	63/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	114						
9	8	32	32	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	_	#
9	8	32	32	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	115						
10	9	65/2	65/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	116						
10	9	67/2	67/2	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	117						
10	9	71/2	71/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	118						
10	9	65/2	65/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	119						
10	9	137/4	137/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	120						
10	9	69/2	69/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	121						
10	9	71/2	71/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	122						
10	9	65/2	65/2	0.0	0	0	FiguredBass	4/4	3	1	0							3/8	#	
10	9	65/2	65/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	123						
10	9	34	34	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	_	
10	9	34	34	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	124						
10	9	69/2	69/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	7	
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	125						
10	9	35	35	0.0	5/8	5/8	FiguredBass	4/4	3	1	0							1/8	_	
10	9	35	35	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	126						
10	9	71/2	71/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	5	
10	9	71/2	71/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	127						
10	9	36	36	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	128						
11	10	73/2	73/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	129						
11	10	75/2	75/2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	130						
11	10	77/2	77/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	131						
11	10	157/4	157/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	132						
11	10	79/2	79/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	133						
11	10	161/4	161/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	134						
11	10	73/2	73/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	135						
11	10	153/4	153/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	136						
11	10	77/2	77/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	137						
11	10	79/2	79/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	138						
11	10	73/2	73/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	5	4
11	10	73/2	73/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	139						
11	10	37	37	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	140						
11	10	75/2	75/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	
11	10	75/2	75/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	141						
11	10	38	38	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	142						
11	10	77/2	77/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	7	
11	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	143						
11	10	39	39	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	144						
11	10	79/2	79/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	6	4
11	10	79/2	79/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	145						
11	10	40	40	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	146						
12	11	81/2	81/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	147						
12	11	165/4	165/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	148						
12	11	83/2	83/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	149						
12	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	150						
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	151						
12	11	44	44	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	152						
12	11	81/2	81/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	153						
12	11	83/2	83/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	154						
12	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	155						
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	156						
12	11	44	44	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	157						
12	11	81/2	81/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	7	#
12	11	81/2	81/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	158						
12	11	41	41	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	159						
12	11	83/2	83/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	4
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	160						
12	11	42	42	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	161						
12	11	85/2	85/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	6	5
12	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	162						
12	11	43	43	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	163						
12	11	87/2	87/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	5	4
12	11	87/2	87/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	164						
12	11	44	44	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	_	#
12	11	44	44	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	165						
13	12	89/2	89/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	166						
13	12	185/4	185/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	167						
13	12	93/2	93/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	168						
13	12	189/4	189/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	169						
13	12	95/2	95/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	170						
13	12	193/4	193/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	171						
13	12	89/2	89/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	172						
13	12	185/4	185/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	173						
13	12	93/2	93/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	174						
13	12	89/2	89/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	175						
13	12	45	45	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	176						
13	12	91/2	91/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	
13	12	91/2	91/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	177						
13	12	46	46	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	_	
13	12	46	46	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	178						
13	12	93/2	93/2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	179						
14	13	97/2	97/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	180						
14	13	201/4	201/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	181						
14	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	182						
14	13	97/2	97/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	183						
14	13	50	50	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	184						
14	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	185						
14	13	97/2	97/2	0.0	0	0	FiguredBass	4/4	3	1	0							3/8	5	4
14	13	97/2	97/2	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	186						
14	13	50	50	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	_	#
14	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	187						
16	14	105/2	105/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	188						
16	14	217/4	217/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	189						
16	14	109/2	109/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	190						
16	14	105/2	105/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	191						
16	14	217/4	217/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	192						
16	14	109/2	109/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	193						
16	14	105/2	105/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	194						
16	14	53	53	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	195						
16	14	107/2	107/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	
16	14	107/2	107/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	196						
16	14	54	54	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	197						
16	14	109/2	109/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/2	#	
16	14	109/2	109/2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	198						
17	15	113/2	113/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	199						
17	15	233/4	233/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	200						
17	15	117/2	117/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	201						
17	15	113/2	113/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	202						
17	15	233/4	233/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	203						
17	15	117/2	117/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	204						
17	15	113/2	113/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	
17	15	113/2	113/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	205						
17	15	57	57	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	206						
17	15	115/2	115/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6\	4
17	15	115/2	115/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	207						
17	15	58	58	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	208						
17	15	117/2	117/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/2	5	
17	15	117/2	117/2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	209						
18	16	121/2	121/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	210						
18	16	249/4	249/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	211						
18	16	125/2	125/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	212						
18	16	253/4	253/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	213						
18	16	127/2	127/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	214						
18	16	257/4	257/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	215						
18	16	121/2	121/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	216						
18	16	249/4	249/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	217						
18	16	125/2	125/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	218						
18	16	121/2	121/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	
18	16	121/2	121/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	219						
18	16	61	61	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	220						
18	16	123/2	123/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	4
18	16	123/2	123/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	221						
18	16	62	62	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	222						
18	16	125/2	125/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	223						
18	16	63	63	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	224						
18	16	127/2	127/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	6	
18	16	127/2	127/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	225						
18	16	64	64	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	226						
19	17	129/2	129/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	227						
19	17	66	66	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	228						
19	17	133/2	133/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	229						
19	17	273/4	273/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	230						
19	17	129/2	129/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	231						
19	17	66	66	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	232						
19	17	133/2	133/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	233						
19	17	129/2	129/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	5\	4
19	17	129/2	129/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	234						
19	17	65	65	0.0	1/8	1/8	FiguredBass	4/4	3	1	0							1/8	_	
19	17	65	65	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	235						
