mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
7	7	20	20	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	35											
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	36											
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	37											
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	38											
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	39											
8	8	21	21	0.0	0	0	FiguredBass	3/4	4	1	0										3/8	6			
8	8	21	21	1.5	0	0	Chord	3/4	4	1	3/8	1/4	3/2	40											
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	41											
8	8	23	23	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	42											
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	43											
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	44											
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	45											
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	46											
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	47											
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	48											
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	49											
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	50											
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	51											
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	52											
9	9	24	24	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
9	9	24	24	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	53											
9	9	26	26	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
9	9	26	26	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	54											
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	55											
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	56											
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	57											
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	58											
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	59											
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	60											
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	61											
10	10	27	27	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	62											
10	10	29	29	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
10	10	29	29	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	63											
11	11	30	30	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	64											
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	65											
11	11	30	30	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	66											
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	67											
11	11	30	30	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
11	11	30	30	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	68											
11	11	32	32	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	69											
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	70											
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	71											
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	72											
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	73											
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	74											
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	75											
12	12	33	33	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
12	12	33	33	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	76											
12	12	35	35	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6			
12	12	35	35	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	77											
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	78											
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	79											
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	80											
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	81											
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	82											
13	13	36	36	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	83											
13	13	36	36	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	5			
13	13	36	36	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	84											
13	13	38	38	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6			
13	13	38	38	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	85											
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	86											
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	87											
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	88											
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	89											
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	90											
14	14	39	39	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	91											
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	92											
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	93											
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	94											
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	95											
14	14	39	39	0.0	0	0	FiguredBass	3/4	4	1	0										3/8	#			
14	14	39	39	1.5	0	0	Chord	3/4	4	1	3/8	1/4	3/2	96											
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	97											
14	14	41	41	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6			
14	14	41	41	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	98											
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	99											
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	100											
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	101											
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	102											
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	103											
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	104											
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	105											
15	15	42	42	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	106											
15	15	44	44	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	107											
15	15	42	42	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	108											
15	15	44	44	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	109											
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	110											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	111											
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	112											
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	113											
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	114											
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	115											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	116											
16	16	45	45	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	117											
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	118											
16	16	46	46	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	119											
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	120											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	121											
16	16	45	45	0.0	0	0	FiguredBass	3/4	4	1	0										1/8	6			
16	16	45	45	0.5	0	0	Chord	3/4	4	1	1/8	1/8	1	122											
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8	1/8	1	123											
16	16	46	46	0.0	1/4	1/4	FiguredBass	3/4	4	1	0										1/8	#			
16	16	46	46	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	124											
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	125											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	126											
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	127											
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	128											
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	129											
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	130											
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	131											
17	17	48	48	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	132											
17	17	49	49	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	133											
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	134											
17	17	50	50	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	135											
17	17	48	48	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	136											
17	17	49	49	0.0	1/4	1/4	FiguredBass	3/4	4	1	0										1/8	#			
17	17	49	49	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	137											
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	138											
17	17	50	50	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6			
17	17	50	50	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	139											
18	18	51	51	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	140											
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	141											
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	142											
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	143											
18	18	51	51	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	144											
18	18	53	53	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	145											
18	18	51	51	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	6\			
18	18	51	51	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	146											
18	18	53	53	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	147											
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	148											
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	149											
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	150											
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	151											
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	152											
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	153											
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	154											
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	155											
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	156											
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	157											
19	19	54	54	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	158											
19	19	54	54	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	159											
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	160											
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	161											
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	162											
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	163											
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	164											
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	165											
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	166											
20	20	58	58	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	167											
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	168											
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	169											
20	20	57	57	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	170											
20	20	57	57	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	5			
20	20	57	57	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	171											
21	21	60	60	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	172											
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	173											
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	174											
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	175											
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	176											
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	177											
21	21	60	60	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	178											
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	179											
21	21	61	61	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	180											
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	181											
21	21	62	62	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	182											
21	21	60	60	0.0	0	0	FiguredBass	3/4	4	1	0										1/8	6			
21	21	60	60	0.5	0	0	Chord	3/4	4	1	1/8	1/8	1	183											
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8	1/8	1	184											
21	21	61	61	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	185											
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	186											
21	21	62	62	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	187											
22	22	63	63	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	188											
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	189											
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	190											
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	191											
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	192											
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	193											
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	194											
22	22	63	63	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	195											
22	22	65	65	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	196											
22	22	63	63	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	6			
22	22	63	63	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	197											
22	22	65	65	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
22	22	65	65	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	198											
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	199											
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	200											
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	201											
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	202											
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	203											
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	204											
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	205											1
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	206											
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	207											
23	23	66	66	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	208											
23	23	68	68	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	209											
23	23	66	66	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
23	23	66	66	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	210											
23	23	68	68	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
23	23	68	68	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	211											
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	212											
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	213											2
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	214											
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	215											
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	216											
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	217											3
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	218											
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	219											
24	24	69	69	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	220											
24	24	71	71	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	221											
24	24	69	69	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	222											
24	24	71	71	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
24	24	71	71	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	223											
25	25	72	72	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	224											
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	225											
25	25	72	72	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	226											
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	227											
25	25	72	72	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	228											
25	25	74	74	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	229											
25	25	72	72	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	7	5	#	
25	25	72	72	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	230											
25	25	74	74	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	#			
25	25	74	74	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	231											
26	26	75	75	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	232											
26	26	75	75	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	233											
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	234											
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	235											
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	236											
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	237											
26	26	75	75	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	238											
26	26	77	77	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	239											
26	26	75	75	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	240											
26	26	77	77	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	241											
27	27	78	78	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	242											
27	27	78	78	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	243											
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	244											
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	245											
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	246											
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	247											
27	27	78	78	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	248											
27	27	80	80	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	249											
27	27	78	78	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	6			
27	27	78	78	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	250											
27	27	80	80	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6			
27	27	80	80	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	251											
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	252											
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	253											
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	254											
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	255											
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	256											
28	28	81	81	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	257											
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	258											
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	259											
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	260											
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	261											
28	28	81	81	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	262											
28	28	83	83	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	263											
28	28	81	81	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
28	28	81	81	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	264											
28	28	83	83	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	265											
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	266											
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	267											
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	268											
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	269											
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	270											
